id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/2650768	10.2307/2650768	Errata: Film Reviews		The American Historical Review	103	3	1998-06-01T00:00:00Z	p. 1045	American Historical Association, Oxford University Press	fla			
10.1086/530332	10.1086/530332	Other Books Received		The American Historical Review	109	1	2004-02-01T00:00:00Z	pp. 309-313	American Historical Association, Oxford University Press	fla			
10.1086/ahr.110.3.933b	10.1086/ahr.110.3.933b		E Bruce Brooks	The American Historical Review	110	3	2005-06-01T00:00:00Z	p. 933	American Historical Association, Oxford University Press	fla			
10.2307/2171505	10.2307/2171505	A Feminine Past? Gender, Genre, and Historical Knowledge in England, 1500- 1800	D. R. Woolf	The American Historical Review	102	3	1997-06-01T00:00:00Z	pp. 645-679	American Historical Association, Oxford University Press	fla			
10.2307/2166591	10.2307/2166591	Collected Essays		The American Historical Review	98	1	1993-02-01T00:00:00Z	pp. 284-302	American Historical Association, Oxford University Press	fla			
10.1086/530745	10.1086/530745	Documents and Bibliographies		The American Historical Review	109	3	2004-06-01T00:00:00Z	pp. 1032-1033	American Historical Association, Oxford University Press	fla			
10.1086/ahr.111.5.xiii	10.1086/ahr.111.5.xiii	In This Issue		The American Historical Review	111	5	2006-12-01T00:00:00Z	pp. xiii-xv	American Historical Association, Oxford University Press	fla			
10.2307/2167767	10.2307/2167767	Performing History: Modernist Contextualism in Carl Schorske's Fin-de-Siècle Vienna	Michael S. Roth	The American Historical Review	99	3	1994-06-01T00:00:00Z	pp. 729-745	American Historical Association, Oxford University Press	fla			
10.2307/2651611	10.2307/2651611	Sleep We Have Lost: Pre-Industrial Slumber in the British Isles	A. Roger Ekirch	The American Historical Review	106	2	2001-04-01T00:00:00Z	pp. 343-386	American Historical Association, Oxford University Press	fla			
10.1086/530928	10.1086/530928	Other Books Received		The American Historical Review	109	4	2004-10-01T00:00:00Z	pp. 1357-1363	American Historical Association, Oxford University Press	fla			
10.2307/2650776	10.2307/2650776	Possessing the Past: The Material World of the Italian Renaissance	Paula Findlen	The American Historical Review	103	1	1998-02-01T00:00:00Z	pp. 83-114	American Historical Association, Oxford University Press	fla			
10.1086/ahr.110.4.1318a	10.1086/ahr.110.4.1318a	Articles	Richard Crane	The American Historical Review	110	4	2005-10-01T00:00:00Z	p. 1318	American Historical Association, Oxford University Press	fla			
10.2307/2651411	10.2307/2651411	Coming Out of Exile: Dante on the Orient(alism) Express	Kathleen Biddick	The American Historical Review	105	4	2000-10-01T00:00:00Z	pp. 1234-1249	American Historical Association, Oxford University Press	fla			
10.2307/2168198	10.2307/2168198	Summing Up	David L. Ransel	The American Historical Review	100	4	1995-10-01T00:00:00Z	pp. 1009-1014	American Historical Association, Oxford University Press	fla			
10.1086/532850	10.1086/532850	Communications	Piotr S. Wandycz, Padraic Kenney, H. G. Jones, Jacqui Sadashige	The American Historical Review	107	4	2002-10-01T00:00:00Z	pp. 1367-1368	American Historical Association, Oxford University Press	fla			
10.2307/2651201	10.2307/2651201	Sex, Citizenship, and the Nation in World War II Britain	Sonya O. Rose	The American Historical Review	103	4	1998-10-01T00:00:00Z	pp. 1147-1176	American Historical Association, Oxford University Press	fla			
10.2307/2652228	10.2307/2652228	Looking at the State: An American Perspective	Morton Keller	The American Historical Review	106	1	2001-02-01T00:00:00Z	pp. 114-118	American Historical Association, Oxford University Press	fla			
10.2307/30223049	10.2307/30223049	The Soviets at Nuremberg: International Law, Propaganda, and the Making of the Postwar Order	Francine Hirsch	The American Historical Review	113	3	2008-06-01T00:00:00Z	pp. 701-730	American Historical Association, Oxford University Press	fla			
10.2307/2650778	10.2307/2650778	The Revival of Antiquity: A Fan's Notes on Recent Work	Anthony Grafton	The American Historical Review	103	1	1998-02-01T00:00:00Z	pp. 118-121	American Historical Association, Oxford University Press	fla			
10.2307/30223236	10.2307/30223236	Communications		The American Historical Review	113	3	2008-06-01T00:00:00Z	pp. 962-965	American Historical Association, Oxford University Press	fla			
10.1086/532851	10.1086/532851	The Devil in the Convent	Moshe Sluhovsky	The American Historical Review	107	5	2002-12-01T00:00:00Z	pp. 1379-1411	American Historical Association, Oxford University Press	fla			
10.1086/ahr.111.4.1315a	10.1086/ahr.111.4.1315a	Articles	Jon Levy	The American Historical Review	111	4	2006-10-01T00:00:00Z	p. 1315	American Historical Association, Oxford University Press	fla			
10.1086/ahr.111.3.758	10.1086/ahr.111.3.758	The Pacific	Matt K. Matsuda	The American Historical Review	111	3	2006-06-01T00:00:00Z	pp. 758-780	American Historical Association, Oxford University Press	fla			
10.1086/531121	10.1086/531121	The Instruction of Great Catastrophe: Truth Commissions, National History, and State Formation in Argentina, Chile, and Guatemala	Greg Grandin	The American Historical Review	110	1	2005-02-01T00:00:00Z	pp. 46-67	American Historical Association, Oxford University Press	fla			
10.2307/2650987	10.2307/2650987	The Sensibility of Comfort	John E. Crowley	The American Historical Review	104	3	1999-06-01T00:00:00Z	pp. 749-782	American Historical Association, Oxford University Press	fla			
10.2307/2166161	10.2307/2166161	Private Lives and Public Order in Restoration France: The Seduction of Emily Loveday	Caroline Ford	The American Historical Review	99	1	1994-02-01T00:00:00Z	pp. 21-43	American Historical Association, Oxford University Press	fla			
