WORDCOUNTS,WEIGHT
the,123
of,92
and,63
to,52
in,49
a,43
that,26
with,16
s,14
this,14
he,11
is,11
history,11
an,11
on,11
as,10
european,9
state,9
sovereignty,9
american,8
for,8
states,7
homicide,7
more,7
address,7
have,7
it,6
process,6
japanese,6
was,6
imperial,6
development,6
his,5
legal,5
their,5
often,5
united,5
murder,5
by,5
sheehan,5
other,5
over,5
political,5
war,5
issue,5
japan,5
ethnography,5
which,5
between,5
film,4
she,4
way,4
how,4
arabia,4
manchukuo,4
force,4
presidential,4
us,4
claims,4
from,4
but,4
too,4
these,4
agents,4
ahr,4
religion,4
cultural,4
british,4
however,4
problem,4
local,4
conception,4
its,4
one,4
self,4
several,4
article,4
be,4
we,4
at,3
not,3
relationship,3
centuries,3
violence,3
into,3
then,3
believed,3
two,3
first,3
beyond,3
social,3
yanagita,3
offers,3
law,3
principle,3
historians,3
rule,3
out,3
historical,3
there,3
took,3
them,3
surveillance,3
particular,3
forum,3
spiritual,3
america,3
monkkonen,3
murderous,3
both,3
asian,3
use,3
largely,3
place,3
has,3
national,3
monopoly,3
essay,3
high,3
satia,3
region,3
when,3
those,3
look,3
than,3
rates,3
south,2
will,2
explanations,2
been,2
medium,2
expansion,2
strategic,2
religious,2
why,2
analysis,2
authority,2
union,2
articles,2
romantic,2
serve,2
mission,2
school,2
or,2
total,2
aerial,2
air,2
nineteenth,2
dale,2
practices,2
being,2
theme,2
explaining,2
followed,2
also,2
shifted,2
strategy,2
control,2
presents,2
had,2
are,2
idea,2
europe,2
inhumanity,2
could,2
essence,2
very,2
persistence,2
late,2
intuitive,2
hand,2
following,2
present,2
reviews,2
making,2
east,2
her,2
while,2
right,2
long,2
some,2
future,2
discussion,2
i,2
middle,2
made,2
explanation,2
upon,2
values,2
elias,2
given,2
through,2
far,2
knowledge,2
role,2
contains,2
expertise,2
aspect,2
story,2
thus,2
our,2
throughout,2
personal,2
ends,2
argument,2
argues,2
reveals,2
manchuria,2
defense,2
would,2
elements,2
nor,2
imagination,2
endowed,2
served,2
ōmachi,2
postwar,2
up,2
world,2
iraq,2
examines,2
contributes,1
courts,1
temporarily,1
may,1
suggest,1
failed,1
threatened,1
rights,1
increasing,1
civilization,1
manchurian,1
now,1
simultaneously,1
second,1
sovereign,1
