WORDCOUNTS,WEIGHT
the,46
of,20
to,16
i,15
as,9
is,9
a,9
and,8
book,8
in,7
family,7
have,6
five,6
children,6
it,5
that,5
rapaport,5
not,5
should,4
other,4
germany,4
are,4
my,4
s,4
portrait,4
half,4
with,4
siblings,4
but,3
professor,3
she,3
brother,3
jewish,3
about,3
eldest,3
than,3
evidence,2
from,2
does,2
such,2
this,2
four,2
three,2
today,2
first,2
indeed,2
like,2
important,2
some,2
voices,2
translation,2
make,2
had,2
missing,2
did,2
on,2
for,2
back,2
one,2
given,2
research,2
typical,2
space,2
moreover,2
sloppy,2
more,2
out,2
clumsy,2
postwar,2
take,2
writing,2
finds,2
rest,2
survived,1
reviews,1
years,1
them,1
via,1
interviewing,1
reviewer,1
most,1
less,1
second,1
epistemological,1
cannot,1
nowhere,1
case,1
relating,1
child,1
stress,1
german,1
occasional,1
no,1
only,1
polish,1
solid,1
informant,1
way,1
sociologist,1
good,1
us,1
writes,1
error,1
explicate,1
yet,1
dismisses,1
logically,1
provide,1
their,1
lynn,1
jewry,1
short,1
séances,1
would,1
majority,1
amount,1
while,1
primary,1
so,1
an,1
firm,1
supply,1
concerned,1
because,1
stated,1
contrary,1
instead,1
ten,1
reviewed,1
invective,1
herself,1
others,1
order,1
cut,1
natural,1
pointed,1
who,1
believe,1
up,1
quite,1
each,1
remains,1
nor,1
old,1
work,1
welcome,1
roughly,1
per,1
they,1
own,1
october,1
fact,1
recognize,1
group,1
company,1
executive,1
start,1
problems,1
stories,1
overwhelming,1
claim,1
study,1
allotted,1
life,1
why,1
histories,1
sense,1
jews,1
ahr,1
point,1
editors,1
same,1
found,1
far,1
persons,1
russia,1
critically,1
see,1
say,1
gleaned,1
alleged,1
kalmans,1
origin,1
be,1
time,1
interviews,1
fascinating,1
reason,1
holocaust,1
itself,1
went,1
story,1
very,1
deceased,1
lopsided,1
critique,1
much,1
focus,1
whereas,1
condensed,1
issues,1
nuclear,1
representativeness,1
there,1
discussed,1
responsibility,1
value,1
long,1
neither,1
collectively,1
was,1
critical,1
intimate,1
turned,1
seriously,1
nothing,1
individuals,1
lopsidedness,1
respond,1
throughout,1
pure,1
come,1
were,1
any,1
full,1
sees,1
review,1
incidental,1
born,1
scholarly,1
