WORDCOUNTS,WEIGHT
the,716
of,448
and,360
atlantic,279
in,245
to,180
a,174
history,128
that,102
is,72
for,67
world,60
from,59
historians,58
on,57
it,55
as,55
this,52
new,51
an,49
or,48
by,46
within,41
have,40
was,38
but,37
region,37
which,37
with,37
one,36
these,36
s,35
not,34
their,32
people,32
ocean,30
who,30
are,30
at,29
different,28
no,25
africa,25
african,25
americas,25
some,24
has,24
european,23
all,22
century,22
were,22
they,21
british,21
america,21
imperial,21
migration,20
first,20
mediterranean,20
we,20
american,19
into,19
political,19
perspective,19
unit,19
most,19
so,19
colonial,19
ways,18
many,18
see,18
be,18
place,17
also,17
can,17
analysis,17
north,17
europe,16
its,16
around,16
other,16
his,15
across,15
single,15
more,15
scholars,15
braudel,15
geographic,15
historical,15
york,14
about,14
trade,14
david,14
like,14
between,14
if,13
studies,13
study,13
global,13
modern,12
those,12
such,12
had,12
field,12
regions,12
period,12
what,12
early,12
there,11
example,11
april,11
only,11
been,11
national,11
europeans,10
slave,10
societies,10
cultural,10
work,10
regional,10
three,10
sugar,10
virginia,10
through,10
commodities,10
approaches,9
might,9
dutch,9
even,9
space,9
university,9
w,9
four,9
unique,9
will,9
culture,9
toward,9
especially,9
perspectives,9
fields,9
any,9
very,9
states,9
english,8
j,8
context,8
labor,8
find,8
approach,8
he,8
us,8
transformations,8
continents,8
power,8
empire,8
peter,8
characterized,8
while,8
both,8
cambridge,8
large,7
papers,7
processes,7
thus,7
since,7
may,7
slavery,7
how,7
empires,7
emergence,7
lived,7
well,7
part,7
london,7
historiographic,7
own,7
landmasses,7
yet,7
two,7
challenge,7
efforts,7
engaged,7
connections,7
intellectual,7
each,7
research,7
brazil,7
places,7
bailyn,7
coclanis,7
offer,7
entire,7
bernard,6
acosta,6
western,6
production,6
england,6
together,6
issue,6
mass,6
west,6
far,6
africans,6
whose,6
without,6
centered,6
migrants,6
colonies,6
r,6
graduate,6
suggest,6
long,6
spanish,6
few,6
philip,6
up,6
indigenous,6
comparative,6
several,6
interactions,6
coherence,6
indian,6
geography,6
eds,6
chocolate,6
would,6
black,6
exchange,6
james,6
transformed,6
itself,6
often,6
contained,6
series,6
set,6
eltis,6
armitage,6
them,6
local,6
multiple,6
subject,6
our,6
d,6
specific,6
among,6
offers,6
tropics,5
hatfield,5
klooster,5
trans,5
nineteenth,5
emerged,5
borders,5
great,5
system,5
point,5
aha,5
interest,5
self,5
myth,5
than,5
americans,5
derived,5
moreover,5
nor,5
elsewhere,5
n,5
age,5
requires,5
important,5
based,5
histories,5
circulation,5
aspects,5
whole,5
describe,5
moved,5
second,5
economic,5
indeed,5
experiences,5
similarly,5
pacific,5
french,5
paul,5
oceanic,5
larger,5
curtin,5
do,5
seventeenth,5
less,5
creole,5
number,5
another,5
made,5
eighteenth,5
including,5
products,5
students,5
language,5
parts,5
features,5
continued,5
independence,5
united,5
hancock,5
know,5
works,5
coast,5
particular,5
middle,5
challenges,5
oah,5
need,5
diaspora,5
time,5
does,4
common,4
way,4
e,4
center,4
complex,4
identify,4
pieter,4
necessarily,4
impediments,4
nonetheless,4
nature,4
shaped,4
individuals,4
fully,4
state,4
seminar,4
case,4
possible,4
logical,4
relations,4
unity,4
old,4
caribbean,4
journal,4
look,4
vantage,4
reflects,4
consequences,4
understand,4
changes,4
circulated,4
linked,4
argued,4
emmer,4
origins,4
decades,4
mcneill,4
madeira,4
international,4
conferences,4
enjoyed,4
drang,4
used,4
positions,4
nach,4
reflect,4
published,4
revolution,4
settlement,4
appropriate,4
circum,4
south,4
identified,4
expansion,4
make,4
movement,4
robin,4
under,4
ed,4
words,4
transatlantic,4
social,4
lewis,4
others,4
demographic,4
idea,4
indies,4
