WORDCOUNTS,WEIGHT
the,43
of,18
to,12
in,9
right,8
and,8
pennsylvania,8
arms,7
that,7
as,7
bear,6
text,5
constitution,5
a,5
this,4
has,4
was,4
been,4
citizens,4
rights,3
gun,3
s,3
spierenburg,3
not,3
debate,3
state,3
model,2
context,2
by,2
since,2
declaration,2
defense,2
every,2
so,2
an,2
revolutionary,2
over,2
community,2
they,2
for,2
other,2
could,2
ahr,2
themselves,2
pieter,2
its,2
all,2
militia,2
historical,2
which,2
at,1
participate,1
smaller,1
defending,1
from,1
within,1
industriously,1
it,1
does,1
such,1
argues,1
province,1
aha,1
viewed,1
recently,1
namely,1
role,1
demanded,1
pro,1
americans,1
misrepresents,1
obligation,1
essential,1
constitutional,1
first,1
played,1
member,1
forum,1
no,1
society,1
requirement,1
true,1
his,1
framers,1
guarantee,1
meaning,1
provide,1
yet,1
ignoring,1
problem,1
homicide,1
guns,1
more,1
service,1
american,1
need,1
complex,1
realize,1
wish,1
inside,1
well,1
stated,1
annual,1
borders,1
drafting,1
entity,1
male,1
having,1
defined,1
academy,1
view,1
felt,1
alone,1
standard,1
history,1
individual,1
new,1
had,1
legal,1
both,1
my,1
outside,1
presented,1
key,1
bearing,1
tradition,1
whole,1
leading,1
communities,1
responsible,1
misinterpretation,1
civic,1
editors,1
research,1
cited,1
contributing,1
indeed,1
second,1
acting,1
preamble,1
misunderstood,1
era,1
with,1
support,1
constant,1
violence,1
emerging,1
government,1
up,1
cites,1
propagated,1
security,1
onto,1
given,1
modern,1
proper,1
using,1
citizen,1
we,1
than,1
protection,1
conferred,1
respond,1
collectively,1
meeting,1
february,1
proof,1
into,1
goal,1
better,1
share,1
fits,1
amendment,1
then,1
is,1
any,1
understanding,1
sees,1
supporters,1
understood,1
remedy,1
