WORDCOUNTS,WEIGHT
the,10
in,4
to,4
genovese,2
s,2
possibility,2
they,2
years,2
michael,2
a,2
republicans,2
thirty,2
that,2
reviewing,1
on,1
house,1
richard,1
period,1
book,1
harry,1
commentators,1
america,1
both,1
difficulties,1
than,1
this,1
majority,1
led,1
ahr,1
most,1
less,1
editors,1
expected,1
entertained,1
become,1
mason,1
won,1
existed,1
might,1
february,1
presidency,1
senate,1
hope,1
does,1
nixon,1
agreed,1
respond,1
truman,1
not,1
wish,1
first,1
discussed,1
and,1
lbj,1
time,1
eliminated,1
of,1
says,1
before,1
robert,1
win,1
political,1
after,1
but,1
party,1
for,1
