WORDCOUNTS,WEIGHT
the,666
of,353
and,262
to,246
in,242
a,180
that,93
we,82
they,76
or,75
were,72
not,72
is,71
i,68
with,67
was,66
illiterate,62
for,62
their,59
women,56
illiterates,53
men,53
by,52
as,52
it,51
did,49
illiteracy,48
voted,47
this,47
you,44
who,43
during,41
electoral,40
from,38
participation,37
barcelona,36
election,35
what,34
all,33
an,33
on,33
political,32
war,32
only,32
more,32
t,30
had,30
workers,30
but,29
them,29
de,28
front,28
are,28
have,28
q,27
popular,27
be,27
vote,26
february,26
c,26
elections,25
ill,25
population,24
which,24
literate,24
literacy,24
d,24
even,23
know,23
interviews,22
other,22
percent,22
historical,22
our,22
if,21
trajectories,21
american,21
no,21
m,21
do,21
at,20
review,20
compromisarios,20
about,20
vilanova,20
between,20
s,19
well,19
la,19
been,19
civil,18
than,17
spain,17
never,17
figure,17
mercedes,17
same,16
able,15
en,15
age,15
most,15
spanish,15
these,15
those,14
l,14
because,14
us,14
also,14
trajectory,14
would,14
don,14
among,14
there,13
could,13
republic,13
factory,13
anarchism,13
go,12
one,12
into,12
behavior,12
sample,12
union,12
repression,12
see,12
level,12
abstention,12
history,11
voting,11
has,11
data,11
tended,11
less,11
can,11
when,11
each,11
way,10
understand,10
my,10
census,10
anarchists,10
et,10
second,10
read,10
two,10
many,10
three,10
why,10
life,10
table,10
different,10
literates,10
electors,10
city,10
years,10
laborers,10
total,9
right,9
general,9
poor,9
after,9
work,9
order,9
oral,9
questions,9
answer,9
municipales,9
through,9
went,9
factories,8
studies,8
possible,8
y,8
study,8
percentages,8
always,8
new,8
day,8
like,8
so,8
municipal,8
often,8
singular,8
over,8
much,8
said,7
first,7
say,7
such,7
its,7
party,7
catalonia,7
majority,7
rest,7
percentage,7
lack,7
time,7
interview,7
especially,7
figures,7
difficult,6
together,6
written,6
reading,6
el,6
point,6
characteristic,6
francoist,6
subjects,6
pueblo,6
higher,6
electorate,6
feel,6
follow,6
important,6
difficulty,6
silence,6
received,6
example,6
people,6
personal,6
anything,6
villages,6
female,6
power,6
degree,6
made,6
use,6
talk,6
me,6
usually,6
male,6
nuevo,6
lives,6
rarely,6
then,6
any,6
very,6
better,6
almost,6
write,6
e,5
group,5
conducted,5
militants,5
great,5
studied,5
take,5
last,5
interviewed,5
within,5
some,5
cooperation,5
anarchist,5
worker,5
silent,5
person,5
left,5
communication,5
how,5
levels,5
females,5
franco,5
followed,5
view,5
lived,5
while,5
del,5
gender,5
ten,5
own,5
working,5
militant,5
few,5
paid,5
f,5
sex,5
historia,5
culture,5
children,5
active,5
trade,5
profession,5
high,5
fear,5
analysis,5
known,5
evident,5
didn,5
distribution,5
information,5
decisive,5
little,5
groups,4
everyone,4
alone,4
center,4
being,4
historians,4
worked,4
j,4
seems,4
parties,4
professions,4
poverty,4
system,4
firm,4
except,4
pay,4
young,4
find,4
according,4
may,4
his,4
similar,4
entre,4
dialogue,4
wanted,4
democratic,4
greater,4
found,4
joy,4
out,4
informed,4
though,4
suffered,4
memory,4
used,4
statistics,4
participate,4
things,4
politically,4
research,4
generally,4
world,4
passive,4
therefore,4
metallurgical,4
home,4
social,4
members,4
others,4
fact,4
conduct,4
non,4
jobs,4
another,4
meetings,4
nevertheless,4
ah,4
held,4
probably,4
militancy,4
today,4
un,4
sections,4
school,4
laborer,4
aggressiveness,4
control,4
leaders,4
respect,4
form,4
want,4
imposed,4
males,4
universe,4
both,4
subject,4
abstained,4
think,4
come,4
question,4
integrated,4
maids,4
escala,4
does,3
later,3
functional,3
determine,3
durante,3
controlled,3
experience,3
taken,3
feeling,3
rosenstone,3
reach,3
simple,3
housewife,3
thanks,3
questionnaire,3
case,3
est,3
key,3
account,3
sign,3
thus,3
relationships,3
madrid,3
facts,3
difficulties,3
immediate,3
invisibility,3
since,3
interest,3
republica,3
relatively,3
ability,3
decided,3
relations,3
voters,3
individual,3
survivors,3
concerning,3
unions,3
six,3
look,3
dear,3
leadership,3
influence,3
poorly,3
let,3
interesting,3
york,3
without,3
english,3
certain,3
parts,3
clearly,3
just,3
numbers,3
votes,3
opinion,3
appear,3
dependency,3
result,3
whom,3
combinations,3
events,3
radical,3
understood,3
persons,3
cannot,3
analfabetismo,3
your,3
los,3
gave,3
older,3
participated,3
translated,3
il,3
either,3
sense,3
revolution,3
le,3
normality,3
family,3
small,3
several,3
abstentionnisme,3
monjo,3
provided,3
will,3
he,3
reduced,3
action,3
economic,3
brief,3
april,3
above,3
under,3
assemblies,3
une,3
name,3
vega,3
abstract,3
man,3
took,3
understanding,3
mean,3
marginality,3
nothing,3
low,3
victory,3
times,3
homes,3
period,3
anyone,3
lose,3
collectivization,3
concepts,3
analyze,3
haven,3
concluded,3
tingsten,3
lliga,3
sometimes,3
countries,3
slogan,3
education,3
housewives,3
considered,3
door,3
historian,3
following,3
must,3
workplace,3
ideological,3
particularly,3
poder,3
whether,3
making,3
her,3
espagne,3
given,3
tried,3
moderate,3
unable,3
finally,3
documentation,3
although,3
defined,3
socialism,3
speak,3
chicago,3
should,3
close,3
riviere,3
frequent,2
handicapped,2
limits,2
created,2
extreme,2
village,2
told,2
saved,2
systematically,2
myth,2
likely,2
constitutes,2
ways,2
modern,2
acceptance,2
accentuated,2
before,2
husbands,2
harold,2
contested,2
source,2
themes,2
common,2
came,2
gap,2
sources,2
barriers,2
every,2
parliamentary,2
certainly,2
adversity,2
words,2
company,2
desire,2
differences,2
rich,2
reveal,2
subsequent,2
achieved,2
classified,2
normal,2
daniel,2
commitment,2
histoire,2
addresses,2
concierge,2
felt,2
prior,2
determined,2
marked,2
reaction,2
obvious,2
correlation,2
learned,2
conflict,2
affiliation,2
movies,2
historically,2
development,2
tables,2
realized,2
feliu,2
durant,2
excuses,2
insisted,2
yourself,2
willems,2
old,2
feminin,2
keep,2
highest,2
compared,2
arranged,2
turnout,2
journal,2
communicational,2
acted,2
compromise,2
costa,2
permits,2
topic,2
whose,2
century,2
act,2
segunda,2
communism,2
knew,2
parents,2
neighborhood,2
eight,2
turn,2
importance,2
leave,2
factors,2
reason,2
win,2
sant,2
repeated,2
gosnell,2
impact,2
frequently,2
show,2
beyond,2
isolation,2
position,2
schooling,2
disappeared,2
extent,2
rule,2
access,2
p,2
speaker,2
deal,2
international,2
calm,2
pass,2
initial,2
base,2
none,2
politique,2
ensenianza,2
effective,2
intensity,2
masculin,2
universidad,2
explain,2
required,2
noticed,2
opposition,2
transcription,2
directly,2
voter,2
distinguish,2
lengua,2
part,2
su,2
uncover,2
london,2
whole,2
place,2
collective,2
constitute,2
contains,2
interpreted,2
count,2
approach,2
good,2
least,2
presented,2
societes,2
hard,2
field,2
carme,2
contrast,2
discourse,2
night,2
characteristics,2
separately,2
choose,2
impossible,2
parliament,2
up,2
espania,2
grateful,2
am,2
seemed,2
republican,2
tasks,2
situation,2
communist,2
hide,2
dupeux,2
motivated,2
exception,2
july,2
still,2
make,2
indicates,2
put,2
positive,2
answering,2
yet,2
makes,2
happened,2
differentiate,2
tax,2
included,2
complete,2
happening,2
double,2
outbreak,2
comfortable,2
ask,2
added,2
stories,2
collar,2
areas,2
pressure,2
documents,2
break,2
larger,2
mind,2
abstencionismo,2
end,2
doubt,2
pattern,2
forms,2
patterns,2
hand,2
establish,2
income,2
interviewees,2
coincided,2
necessary,2
spoke,2
material,2
perhaps,2
distance,2
number,2
going,2
linked,2
violent,2
samples,2
distrust,2
maria,2
vocabulary,2
ideas,2
exhibited,2
variables,2
continue,2
maid,2
open,2
significance,2
clear,2
discovered,2
moral,2
jose,2
dominique,2
august,2
shopkeeper,2
allowed,2
function,2
responses,2
played,2
stages,2
course,2
earlier,2
conversation,2
decide,2
catalunya,2
article,2
become,2
story,2
atlas,2
inferior,2
attention,2
separate,2
dealing,2
twelve,2
coupled,2
science,2
institutions,2
seen,2
force,2
wilson,2
class,2
methods,2
united,2
types,2
months,2
worlds,2
catalan,2
roughly,2
sexes,2
thinking,2
associated,2
guixols,2
cnt,2
conclusion,2
membership,2
verify,2
paper,2
specialized,2
steven,2
global,2
connection,2
interviewer,2
best,2
jeanne,2
speech,2
section,2
past,2
concrete,2
beginning,2
quiet,2
explanations,2
segona,2
terms,2
list,2
pact,2
particular,2
passed,2
require,2
anna,2
unnoticed,2
remember,2
molas,2
role,2
easy,2
buy,2
boix,2
confronted,2
obtain,2
families,2
reaching,2
inferiority,2
difference,2
states,2
integration,2
france,2
specific,2
news,2
arrange,2
reached,2
catalana,2
censuses,2
comparable,2
recent,2
asked,2
showed,2
chall,2
adulthood,1
democracy,1
moreno,1
archives,1
inward,1
mostly,1
resnick,1
fathers,1
generalization,1
versa,1
orientacio,1
piecework,1
enter,1
meaning,1
cent,1
espaiia,1
revue,1
stood,1
suffocated,1
universite,1
delegitimate,1
fault,1
red,1
beltran,1
eliminated,1
introduction,1
differentiating,1
notably,1
per,1
mouth,1
swallow,1
everybody,1
minutes,1
speakers,1
likewise,1
becoming,1
large,1
needed,1
complex,1
identify,1
broach,1
mankind,1
conducting,1
word,1
referring,1
live,1
schools,1
sets,1
motivation,1
solidarity,1
done,1
sudden,1
easily,1
candidate,1
mijas,1
former,1
serviceman,1
comparisons,1
galicia,1
necessarily,1
