id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/40984780	10.2307/40984780	Hoover's Truce: Wage Rigidity in the Onset of the Great Depression	Jonathan D. Rose	The Journal of Economic History	70	4	2010-12-01T00:00:00Z	pp. 843-870	Cambridge University Press, Economic History Association	fla		This article analyzes President Herbert Hoover's role in causing wage rigidity during the onset of the Great Depression, through two conferences in which he encouraged business leaders to maintain high wages. New data on the set of firms and trade associations attending these conferences provides evidence that Hoover's conferences delayed the cuts in hourly wages at a small number of large firms, although this result may have been due to characteristics of the particular industries the firms represented. In a cross-section of industries, there is no evidence that industry representation at the December conference affected the timing of wage cuts.	
10.2307/20542911	10.2307/20542911	Poverty among the Elderly in Late Victorian England	George R. Boyer, Timothy P. Schmidle	The Economic History Review	62	2	2009-05-01T00:00:00Z	pp. 249-278	Economic History Society, Wiley	fla		Despite rapid increases in manual workers' wages, poverty rates among the elderly remained high in late Victorian England, although they varied significantly across Poor Law Unions. This paper begins by examining the ability of workers to provide for their old age. A data set is constructed, consisting of all English Poor Law Unions in 1891-2, and regression equations are estimated in order to explain variations across unions in pauperism rates. This is followed by the testing of several conjectures made by contemporaries, and repeated by historians, regarding the deterrent effect of workhouse relief, the effects of wages and of the industrial character of Poor Law Unions on pauperism rates, and regional differences in workers' reliance on the poor law. The paper then examines the implications of these results for the debate over national old age pensions in the decades before the adoption of the Old Age Pension Act.	
10.2307/40263925	10.2307/40263925	Nationalizations and the Development of Transport Systems: Cross-Country Evidence from Railroad Networks, 1860–1912	Dan Bogart	The Journal of Economic History	69	1	2009-03-01T00:00:00Z	pp. 202-237	Cambridge University Press, Economic History Association	fla		Many states nationalized portions of their railroad network between 1860 and 1912. This article uses new cross-country data to examine which factors contributed to nationalizations and how nationalizations influenced network expansion. I find evidence that nationalizations were greater in countries with low constraints on the executive branch, with French and German civil law systems, and where neighboring countries had higher military capability. I also find evidence that nationalizations reduced mileage growth. The results suggest that external military threats increased the appeal of nationalizations, while legal and political institutions influenced their costs. They also suggest that nationalizations reduced investment incentives.	
10.2307/20685390	10.2307/20685390	NEW LOSSES, NEW OPPORTUNITIES: (SOVIET) WOMEN IN THE SHUTTLE TRADE, 1987-1998	Irina Mukhina	Journal of Social History	43	2	2009-12-01T00:00:00Z	pp. 341-359	Oxford University Press	fla		When Mikhail Gorbachev initiated economic reforms in the mid-1980s, many people in the USSR found international peddling more profitable than anything else they could do. At first, tens of thousands of Soviet citizens poured into 'socialist' Poland, Hungary, or China, but by the mid-1990s the trade expanded to include thirty million people and a wide range of countries and became the backbone of Russian consumer trade. Even though scholarly works have begun to acknowledge the unique role of this shuttle business in the post-Soviet Russian economy, this study analyzes the role of gender in the business based on extensive oral history fieldwork. The research demonstrates that even though the shuttle business gave women new opportunities for financial advancement, their prolonged absence from home and the specificity of this semi-legal trade also brought high rates of divorce and rising health problems for these women as well as lack of parental control for their children. These women-traders facilitated the transition to a free market economy in Russia but their shared experiences demonstrated the gap between the rhetoric of free market economy and the actual market practices of the 1990s.	
10.2307/40264178	10.2307/40264178	Musical Modernity and Contested Commemoration at the Festival of Remembrance, 1923-1927	James G. Mansell	The Historical Journal	52	2	2009-06-01T00:00:00Z	pp. 433-454	Cambridge University Press	fla		This article makes the case for incorporating music into the history of war commemoration in 1920s Britain by examining John Foulds's A World Requiem, performed at the British Legion's first Festivals of Remembrance at the Royal Albert Hall between 1923 and 1926. A simultaneously modernist and spiritual work, Foulds's Requiem challenges Jay Winter's conclusion that modernism was unconcerned with public grief The controversy which the Requiem caused also reveals the contested nature of public memory, particularly where musk and religion were concerned. The Requiem's axing in 1927 points to a hegemonic process which, although it had yet fully to take shape, found no room on Armistice Night for Foulds's progressive ideals.	
10.2307/40802114	10.2307/40802114	SOCIABILITY AND "SEPARATE SPHERES" ON THE NORTH ATLANTIC: THE INTERIOR ARCHITECTURE OF BRITISH ATLANTIC LINERS, 1840-1930	Douglas Hart	Journal of Social History	44	1	2010-10-01T00:00:00Z	pp. 189-212	Oxford University Press	fla		This article documents changes in the configurations of public rooms on British express liners between 1840 and 1930. The contrast between the interior architecture in the liners and that of other travel venues is used to illustrate the importance of local circumstances in shaping the expression of the Victorian ideology of separates spheres for men and women in the design of public spaces. The history of public spaces in first class consists of a series of transitions that while moving in the direction of separate spheres, retains common spaces to an extent not seen in other travel sites. The rigid gender segregation found on American railways, steamboats and in hotels is not replicated in the liners, even in the 1880s when the social life, at least in daytime, becomes divided between the exclusively male smoking room and the female dominated music room. Two mutually reinforcing factors can account for the exceptionality of liner architecture. One is a social exclusivity created by the high cost of transatlantic travel; the other is a distinctive norm of sociability occasioned by lengthy, isolating crossings in uncomfortable and initially, dangerous conditions. These factors reduced problems of social regulation and allowed tensions between genteel and vulgar activities to be accommodated with limited recourse to segregated public spaces.	
10.2307/40802110	10.2307/40802110	THIS HARLEM LIFE: BLACK FAMILIES AND EVERYDAY LIFE IN THE 1920S AND 1930S	Stephen Robertson, Shane White, Stephen Garton, Graham White	Journal of Social History	44	1	2010-10-01T00:00:00Z	pp. 97-122	Oxford University Press	fla		This article uses Probation Department files to reconstruct the lives of five ordinary residents of Harlem. It highlights what that black metropolis offered those outside the political and cultural elite, who have dominated historical scholarship, showing how ordinary blacks negotiated the challenges of life in northern neighborhoods, and drew on institutions and organizations, to establish and sustain new lives. We offer the kind of individualized perspective on everyday life that other scholars have provided for high culture, but which does not exist for other realms of existence in Harlem, even in early twentieth century sociological studies of black life. Where scholars seeking to distinguish the neighborhood from a slum have pointed to the prevailing pride and self-confidence of its residents, this article directs attention to more immediate, concrete supports that sustained and enriched life in Harlem. Relationships with spouses, children, siblings and cousins sustained individuals faced with the social reality of living in overcrowded, deteriorating, disease infested housing, subject to the racism of white police, politicians and employers; so too did friendships made in nightclubs, speakeasies, dances and movie theatres, and membership of churches, fraternal organizations, social clubs, and sports clubs and teams.	
10.2307/25621417	10.2307/25621417	The Victim's Voice and Melodramatic Aesthetics in History	Amos Goldberg	History and Theory	48	3	2009-10-01T00:00:00Z	pp. 220-237	Wesleyan University, Wiley	fla		Saul Friedländer's recent Nazi Germany and the Jews: The Years of Extermination offers a brilliant new literary mode for historical representation of extreme events such as the Holocaust. He has produced an authoritative historical narrative of the Holocaust, within which he integrates the victims' authentic voices, as recorded (mostly) in their contemporary writings. This article offers a comparative assessment of Friedländer's achievement with regard to the integration of Jewish sources into the historical account. It begins with a contextualization of Friedländer's book within a framework that compares the ways in which Jewish sources are addressed by different historiographical approaches. In the second part it seeks to contextualize analytically and critically Friedländer's concept of "disbelief"—a concept by which he defines the role of the "victims' voices" in his narrative. I claim that in our current "era of the witness," set within a culture addicted to the "excessive," the voices of the victims and the witnesses appear to have lost their radical political and ethical force. They seem no longer to bear the excess of history, and can thus hardly claim to be the guardians of disbelief. Excess and disbelief have thus become the most commonplace cultural topos. In our current culture, I contend, the excessive voices of the victims have, to some extent, exchanged their epistemological, ontological, and ethical revolutionary function for an aesthetic one. They operate according to the pleasure principle in order to bring us, the consumers of Holocaust images, the most expected image of the "unimaginable," which therefore generates a melancholic pleasure and involves the narrative in melodramatic aesthetics. The article concludes by briefly suggesting some guidelines for an alternative approach to the study of contemporary Jewish Holocaust sources.	
10.2307/40543285	10.2307/40543285	Going Global: New Trajectories in U.S. Women's History	Mary E. Frederickson	The History Teacher	43	2	2010-02-01T00:00:00Z	pp. 169-189	Society for History Education	fla			
10.2307/20542918	10.2307/20542918	Domestic Servants and Their Urban Employers: A Case Study of Lancaster, 1880-1914	Siân Pooley	The Economic History Review	62	2	2009-05-01T00:00:00Z	pp. 405-429	Economic History Society, Wiley	fla		It has been argued that domestic service heightened divisions of class and gender, and supported the private nuclear family in late nineteenth-century England. This case study of one urban locality (Lancaster) between 1880 and 1914 uses qualitative and quantitative techniques, particularly longitudinal record linkage, to explore relationships between live-in domestic servants and their employers. It is argued that there were considerable similarities between the backgrounds and life-cycle-related motivations of both servants and employers. Relationships were highly diverse, but service simultaneously depended upon and played a crucial role in sustaining complex, localized networks that extended far beyond the servant-employing household.	
