WORDCOUNTS,WEIGHT
the,594
of,478
and,319
to,244
a,214
in,211
s,110
as,98
biography,94
garibaldi,83
that,81
is,76
for,70
life,63
history,62
his,59
by,58
was,57
an,56
or,53
on,52
political,51
great,48
it,47
new,44
has,38
lives,38
with,38
its,35
be,35
men,34
this,32
i,32
from,30
have,30
public,29
he,29
but,29
not,29
their,28
more,28
which,28
historical,28
also,27
individual,26
at,25
can,25
what,24
one,23
these,23
man,23
were,23
are,23
london,22
italy,22
who,22
my,20
riall,20
how,19
we,19
about,18
some,17
than,17
historians,17
all,16
end,16
idem,16
women,15
hero,15
study,15
other,14
national,14
they,13
those,13
york,13
lucy,13
approach,13
still,13
times,13
many,13
him,13
shallow,13
been,13
writing,13
traditional,13
greatness,12
had,12
biographies,12
social,12
them,12
popular,12
biographical,11
davis,11
even,11
no,11
age,11
well,11
fame,11
so,11
our,11
book,10
british,10
century,10
whose,10
heroes,10
academic,10
cultural,10
world,10
us,10
power,10
story,10
dnb,10
both,10
way,9
richard,9
such,9
reputation,9
most,9
long,9
time,9
kershaw,9
any,9
between,9
much,9
heroic,8
sphere,8
studies,8
narrative,8
there,8
state,8
odnb,8
holroyd,8
de,8
journal,8
process,8
ex,8
understand,8
victorian,8
could,8
explain,8
part,8
during,8
britain,8
only,8
leader,8
elite,8
would,8
strachey,8
france,8
over,8
her,8
hitler,8
subject,8
into,7
case,7
italian,7
genre,7
nation,7
people,7
yet,7
forms,7
never,7
less,7
private,7
form,7
emphasis,7
role,7
catherine,7
need,7
tion,6
truth,6
clair,6
words,6
con,6
pub,6
mass,6
risorgimento,6
review,6
kind,6
clark,6
like,6
rather,6
importance,6
too,6
mussolini,6
mapping,6
lived,6
purpose,6
gender,6
personal,6
own,6
st,6
two,6
french,6
idea,6
see,6
eds,6
identity,6
questions,6
collini,6
biographer,6
volumes,6
ing,6
series,6
different,6
making,6
became,6
focus,6
does,5
now,5
first,5
creation,5
seems,5
able,5
within,5
context,5
politics,5
point,5
far,5
carlyle,5
thus,5
general,5
appeal,5
may,5
supplement,5
literary,5
goldman,5
dixon,5
out,5
deal,5
montefiore,5
however,5
because,5
work,5
pugin,5
memoirs,5
sebag,5
successful,5
revolution,5
seemed,5
society,5
indeed,5
once,5
culture,5
ed,5
politi,5
smith,5
fact,5
serious,5
material,5
publication,5
pro,5
analyze,5
me,5
hill,5
dead,5
did,5
nationalist,5
reputations,5
although,5
evidence,5
mack,5
little,5
re,5
broader,5
if,4
meaning,4
career,4
bosworth,4
achievements,4
english,4
approaches,4
modern,4
nineteenth,4
www,4
invention,4
military,4
might,4
tradition,4
take,4
nevertheless,4
sought,4
possible,4
against,4
yeats,4
bi,4
since,4
author,4
interest,4
ability,4
exercise,4
young,4
guerzoni,4
look,4
without,4
saints,4
after,4
reason,4
giuseppe,4
just,4
important,4
search,4
failure,4
future,4
example,4
collective,4
concentrate,4
exemplary,4
sense,4
dictionary,4
narrating,4
always,4
value,4
noteworthy,4
wrote,4
above,4
others,4
contemporary,4
took,4
do,4
books,4
greatest,4
made,4
explanation,4
range,4
clear,4
painter,4
least,4
attention,4
european,4
often,4
stephen,4
seem,4
current,4
written,4
past,4
cal,4
