id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/2945107	10.2307/2945107	The Hidden History of Mestizo America	Gary B. Nash	The Journal of American History	82	3	1995-12-01T00:00:00Z	pp. 941-964	Organization of American Historians	fla			
10.2307/3092171	10.2307/3092171	Damming Afghanistan: Modernization in a Buffer State	Nick Cullather	The Journal of American History	89	2	2002-09-01T00:00:00Z	pp. 512-537	Organization of American Historians	fla			
10.2307/3659784	10.2307/3659784	Letters to the Editor	Steven Casey, Astrid M. Eckert, Dennis Bryson, Dale M. Hellegers, Abraham Hoffman	The Journal of American History	91	1	2004-06-01T00:00:00Z	pp. 353-356	Organization of American Historians	fla			
10.2307/2081452	10.2307/2081452	Huck Finn, Don Quixote, and Mother Jones: On the Practice of United States History in Argentina	Pablo Pozzi	The Journal of American History	81	3	1994-12-01T00:00:00Z	pp. 1099-1111	Organization of American Historians	fla			
10.2307/4486238	10.2307/4486238	A Moment in a Scholar's Understanding of America: Attending Rob Kroes's Retirement Talk	David Thelen	The Journal of American History	93	2	2006-09-01T00:00:00Z	pp. 414-416	Organization of American Historians	fla			
10.2307/2945474	10.2307/2945474	Miscegenation Law, Court Cases, and Ideologies of "Race" in Twentieth-Century America	Peggy Pascoe	The Journal of American History	83	1	1996-06-01T00:00:00Z	pp. 44-69	Organization of American Historians	fla			
10.2307/2952572	10.2307/2952572	The Power of Nations	Gary Gerstle	The Journal of American History	84	2	1997-09-01T00:00:00Z	pp. 576-580	Organization of American Historians	fla			
10.2307/25095146	10.2307/25095146	"The Forgotten People of New Orleans": Community, Vulnerability, and the Lower Ninth Ward	Juliette Landphair	The Journal of American History	94	3	2007-12-01T00:00:00Z	pp. 837-845	Organization of American Historians	fla			
10.2307/3092553	10.2307/3092553	Using Online Resources to Re-Center the U.S. History Survey: Women's History as a Case Study	Kriste Lindenmeyer	The Journal of American History	89	4	2003-03-01T00:00:00Z	pp. 1483-1488	Organization of American Historians	fla			
10.2307/2082187	10.2307/2082187	Race and the Myth of the Liberal Consensus	Gary Gerstle	The Journal of American History	82	2	1995-09-01T00:00:00Z	pp. 579-586	Organization of American Historians	fla			
10.2307/2945120	10.2307/2945120	Documents		The Journal of American History	82	3	1995-12-01T00:00:00Z	pp. 1136-1144	Organization of American Historians	fla			
10.2307/41509961	10.2307/41509961	Borderlands in a World at Sea: Concow Indians, Native Hawaiians, and South Chinese in Indigenous, Global, and National Spaces	David A. Chang	The Journal of American History	98	2	2011-09-01T00:00:00Z	pp. 384-403	Organization of American Historians	fla			
10.2307/2080607	10.2307/2080607	Coming into Focus: The Treatment of African Americans in Post-Civil War United States History Survey Texts	Sundiata Keita Cha-Jua, Robert E. Weems, Jr.	The Journal of American History	80	4	1994-03-01T00:00:00Z	pp. 1408-1419	Organization of American Historians	fla			
10.2307/2700385	10.2307/2700385	Tense and Tender Ties: The Politics of Comparison in North American History and (Post) Colonial Studies	Ann Laura Stoler	The Journal of American History	88	3	2001-12-01T00:00:00Z	pp. 829-865	Organization of American Historians	fla			
10.2307/40661827	10.2307/40661827	Living against America: Classroom Encounters in Beirut	Patrick McGreevy	The Journal of American History	96	4	2010-03-01T00:00:00Z	pp. 1087-1093	Organization of American Historians	fla			
10.2307/4486239	10.2307/4486239	European Anti-Americanism: What's New?	Rob Kroes	The Journal of American History	93	2	2006-09-01T00:00:00Z	pp. 417-431	Organization of American Historians	fla			
10.2307/27694567	10.2307/27694567	Rethinking a Curricular "Muddle in the Middle": Revising the Undergraduate History Major at Western Michigan University	Linda J. Borish, Mitch Kachun, Cheryl Lyon-Jenness	The Journal of American History	95	4	2009-03-01T00:00:00Z	pp. 1102-1113	Organization of American Historians	fla			
10.2307/2080408	10.2307/2080408	Marriage, Morals, and Politics in the Election of 1828	Norma Basch	The Journal of American History	80	3	1993-12-01T00:00:00Z	pp. 890-918	Organization of American Historians	fla			
10.2307/3659276	10.2307/3659276	From Tuskegee to Togo: The Problem of Freedom in the Empire of Cotton	Sven Beckert	The Journal of American History	92	2	2005-09-01T00:00:00Z	pp. 498-526	Organization of American Historians	fla			
10.2307/3660175	10.2307/3660175	Richard Gregg, Mohandas Gandhi, and the Strategy of Nonviolence	Joseph Kip Kosek	The Journal of American History	91	4	2005-03-01T00:00:00Z	pp. 1318-1348	Organization of American Historians	fla			
10.2307/4485891	10.2307/4485891	Nightmares on Elm Street: Demobilizing in Chicago, 1945-1953	Laura McEnaney	The Journal of American History	92	4	2006-03-01T00:00:00Z	pp. 1265-1291	Organization of American Historians	fla			
10.2307/2700386	10.2307/2700386	What's Love Got to Do with It?	Ramon A. Gutierrez	The Journal of American History	88	3	2001-12-01T00:00:00Z	pp. 866-869	Organization of American Historians	fla			
10.2307/2082197	10.2307/2082197	Test the West: American History through the Lens of German Survey Texts	Dirk Philipsen	The Journal of American History	82	2	1995-09-01T00:00:00Z	pp. 651-657	Organization of American Historians	fla			
10.2307/2079870	10.2307/2079870	The Antimonopoly Ideal and the Liberal State: The Case of Thurman Arnold	Alan Brinkley	The Journal of American History	80	2	1993-09-01T00:00:00Z	pp. 557-579	Organization of American Historians	fla			
10.2307/2080406	10.2307/2080406	Clio, Canons, and Culture	Lawrence W. Levine	The Journal of American History	80	3	1993-12-01T00:00:00Z	pp. 849-867	Organization of American Historians	fla			
10.2307/2944946	10.2307/2944946	Introduction	Linda Shopes, Michael Frisch	The Journal of American History	83	2	1996-09-01T00:00:00Z	pp. 549-550	Organization of American Historians	fla			
10.2307/2675098	10.2307/2675098	Party Games: The Art of Stealing Elections in the Late-Nineteenth-Century United States	Mark Wahlgren Summers	The Journal of American History	88	2	2001-09-01T00:00:00Z	pp. 424-435	Organization of American Historians	fla			
10.2307/25622300	10.2307/25622300	Lincoln Theme 20	Matthew Pinsker	The Journal of American History	96	2	2009-09-01T00:00:00Z	pp. 417-440	Organization of American Historians	fla			
10.2307/2080034	10.2307/2080034	Of Audiences, Borderlands, and Comparisons: Toward the Internationalization of American History	David Thelen	The Journal of American History	79	2	1992-09-01T00:00:00Z	pp. 432-462	Organization of American Historians	fla			
10.2307/2568615	10.2307/2568615	Theodore Roosevelt and the Divided Character of American Nationalism	Gary Gerstle	The Journal of American History	86	3	1999-12-01T00:00:00Z	pp. 1280-1307	Organization of American Historians	fla			
10.2307/2081439	10.2307/2081439	"Venturesome and Cautious": American History in the 1990s	Thomas Bender	The Journal of American History	81	3	1994-12-01T00:00:00Z	pp. 992-1003	Organization of American Historians	fla			
10.2307/25094606	10.2307/25094606	Recasting the Narrative of America: The Rewards and Challenges of Teaching American Indian History	Ned Blackhawk	The Journal of American History	93	4	2007-03-01T00:00:00Z	pp. 1165-1170	Organization of American Historians	fla			
10.2307/2081649	10.2307/2081649	"The Damnable Dilemma": African-American Accommodation and Protest during World War I	William Jordan	The Journal of American History	81	4	1995-03-01T00:00:00Z	pp. 1562-1583	Organization of American Historians	fla			
10.2307/2079874	10.2307/2079874	Oral History and Industrial Heritage Museums	James B. Lane	The Journal of American History	80	2	1993-09-01T00:00:00Z	pp. 607-618	Organization of American Historians	fla			
10.2307/2081454	10.2307/2081454	Racial Attraction: Tracing the Historiographical Alliances between South Africa and the United States	Greg Cuthbertson	The Journal of American History	81	3	1994-12-01T00:00:00Z	pp. 1123-1136	Organization of American Historians	fla			
10.2307/40661824	10.2307/40661824	The Incorporation of American Feminism: Suffragists and the Postbellum Lyceum	Lisa Tetrault	The Journal of American History	96	4	2010-03-01T00:00:00Z	pp. 1027-1056	Organization of American Historians	fla			
10.2307/41510319	10.2307/41510319	The Dilemmas of Oil Empire	Tyler Priest	The Journal of American History	99	1	2012-06-01T00:00:00Z	pp. 236-251	Organization of American Historians	fla			
10.2307/2700602	10.2307/2700602	Ethnics against Ethnicity: European Immigrants and Foreign-Language Instruction, 1890-1940	Jonathan Zimmerman	The Journal of American History	88	4	2002-03-01T00:00:00Z	pp. 1383-1404	Organization of American Historians	fla			
10.2307/2700608	10.2307/2700608	"Bringing History to Life": Oral History, Community Research, and Multiple Levels of Learning	A. Glenn Crothers	The Journal of American History	88	4	2002-03-01T00:00:00Z	pp. 1446-1451	Organization of American Historians	fla			
10.2307/2675105	10.2307/2675105	The Road to Xanadu: Public and Private Pathways on the History Web	Roy Rosenzweig	The Journal of American History	88	2	2001-09-01T00:00:00Z	pp. 548-579	Organization of American Historians	fla			
10.2307/3092163	10.2307/3092163	In the Wake of September 11: The Clash of What?	Michael H. Hunt	The Journal of American History	89	2	2002-09-01T00:00:00Z	pp. 416-425	Organization of American Historians	fla			
10.2307/3092548	10.2307/3092548	The Politics of Transnational History Making: Japanese Immigrants on the Western "Frontier," 1927-1941	Eiichiro Azuma	The Journal of American History	89	4	2003-03-01T00:00:00Z	pp. 1401-1430	Organization of American Historians	fla			
10.2307/41510113	10.2307/41510113	Conspiratorial Anglophobia and the War of 1812	Lawrence A. Peskin	The Journal of American History	98	3	2011-12-01T00:00:00Z	pp. 647-669	Organization of American Historians	fla			
10.2307/41510120	10.2307/41510120	On American Conservatism and Kim Phillips-Fein's Survey of the Field	Martin Durham	The Journal of American History	98	3	2011-12-01T00:00:00Z	pp. 756-759	Organization of American Historians	fla			
10.2307/2700605	10.2307/2700605	Re-Visioning Women's History Through Service Learning	Catherine Badura	The Journal of American History	88	4	2002-03-01T00:00:00Z	pp. 1431-1435	Organization of American Historians	fla			
10.2307/40959766	10.2307/40959766	Out of the Revolution, into the Mainstream: Employment Activism in the NOW Sears Campaign and the Growing Pains of Liberal Feminism	Katherine Turk	The Journal of American History	97	2	2010-09-01T00:00:00Z	pp. 399-423	Organization of American Historians	fla			
10.2307/2945636	10.2307/2945636	Correction		The Journal of American History	83	1	1996-06-01T00:00:00Z	p. 320	Organization of American Historians	fla			
10.2307/2078481	10.2307/2078481	Information Age: People, Information and Technology	Bernard Mergen	The Journal of American History	79	1	1992-06-01T00:00:00Z	pp. 219-225	Organization of American Historians	fla			
10.2307/2081447	10.2307/2081447	Practicing History: A High School Teacher's Reflections	Joyce M. Cruse	The Journal of American History	81	3	1994-12-01T00:00:00Z	pp. 1064-1074	Organization of American Historians	fla			
10.2307/40959763	10.2307/40959763	Remembering Dinah Nevil: Strategic Deceptions in Eighteenth-Century Antislavery	Kirsten Sword	The Journal of American History	97	2	2010-09-01T00:00:00Z	pp. 315-343	Organization of American Historians	fla			
10.2307/41509578	10.2307/41509578	Romancing the Capstone: National Trends, Local Practice, and Student Motivation in the History Curriculum	Kathleen W. Jones, Mark V. Barrow Jr., Robert P. Stephens, Stephen O'Hara	The Journal of American History	98	4	2012-03-01T00:00:00Z	pp. 1095-1113	Organization of American Historians	fla			
10.2307/2567752	10.2307/2567752	Introduction	Michael Gordon, Lu Ann Jones	The Journal of American History	85	2	1998-09-01T00:00:00Z	pp. 579-580	Organization of American Historians	fla			
10.2307/2952738	10.2307/2952738	Yorktown Victory Center	Catherine M. Lewis, Thomas J. Schlereth	The Journal of American History	84	1	1997-06-01T00:00:00Z	pp. 156-163	Organization of American Historians	fla			
10.2307/3659274	10.2307/3659274	Did Democracy Cause the Recession That Led to the Constitution?	Woody Holton	The Journal of American History	92	2	2005-09-01T00:00:00Z	pp. 442-469	Organization of American Historians	fla			
10.2307/3659962	10.2307/3659962	Letters to the Editor	Gerd Korman, Shlomo Slonim, Ussama Makdisi, Bernard Sinsheimer, Gabor Boritt, Wallace Hettle, Gary E. Weir, Joel R. Davidson, Raymond J. Jirran, Gary Kulik, Michael Schaller, Theodore Hamm, Scott Christianson	The Journal of American History	90	1	2003-06-01T00:00:00Z	pp. 341-348	Organization of American Historians	fla			
10.2307/41509964	10.2307/41509964	Before the Railroad: From Slavery to Freedom in the Canadian-American Borderland	Gregory Wigmore	The Journal of American History	98	2	2011-09-01T00:00:00Z	pp. 437-454	Organization of American Historians	fla			
10.2307/25094608	10.2307/25094608	Exposing the Price of Ignorance: Teaching Asian American History in Michigan	Scott Kurashige	The Journal of American History	93	4	2007-03-01T00:00:00Z	pp. 1178-1185	Organization of American Historians	fla			
10.2307/3660528	10.2307/3660528	Heterosexual White Male: Some Recent Inversions in American Cultural History	Daniel Wickberg	The Journal of American History	92	1	2005-06-01T00:00:00Z	pp. 136-157	Organization of American Historians	fla			
10.2307/40661822	10.2307/40661822	George Thompson among the Africans: Empathy, Authority, and Insanity in the Age of Abolition	Joseph Yannielli	The Journal of American History	96	4	2010-03-01T00:00:00Z	pp. 979-1000	Organization of American Historians	fla			
10.2307/2079349	10.2307/2079349	The Politics and Pedagogy of Popular Culture in Contemporary Textbooks	George Lipsitz	The Journal of American History	78	4	1992-03-01T00:00:00Z	pp. 1395-1400	Organization of American Historians	fla			
10.2307/2952574	10.2307/2952574	"There's a Footnote to History!" Memory and the History of Martin Luther King's October 1960 Arrest and Its Aftermath	Clifford M. Kuhn	The Journal of American History	84	2	1997-09-01T00:00:00Z	pp. 583-595	Organization of American Historians	fla			
10.2307/41510303	10.2307/41510303	Fueling the Boom: Gasoline Taxes, Invisibility, and the Growth of the American Highway Infrastructure, 1919-1956	Christopher W. Wells	The Journal of American History	99	1	2012-06-01T00:00:00Z	pp. 72-81	Organization of American Historians	fla			
10.2307/2079702	10.2307/2079702	Historians and Archivists: A Rationale for Cooperation	Edwin Bridges, Gregory Hunter, Page Putnam Miller, David Thelen, Gerhard Weinberg	The Journal of American History	80	1	1993-06-01T00:00:00Z	pp. 179-186	Organization of American Historians	fla			
10.2307/2568768	10.2307/2568768	Oral History as an Approach to State History	Kimberly K. Porter	The Journal of American History	87	2	2000-09-01T00:00:00Z	pp. 606-609	Organization of American Historians	fla			
10.2307/2080212	10.2307/2080212	Beyond the Feminine Mystique: A Reassessment of Postwar Mass Culture, 1946- 1958	Joanne Meyerowitz	The Journal of American History	79	4	1993-03-01T00:00:00Z	pp. 1455-1482	Organization of American Historians	fla			
10.2307/4486227	10.2307/4486227	Letters to the Editor	David Braden, Richard Cullen Rath, Danno Binkiewicz, Lester C. Olson, Tim Lacy, Michael Johnson, Benjamin T. Harrison	The Journal of American History	93	1	2006-06-01T00:00:00Z	pp. 310-314	Organization of American Historians	fla			
10.2307/41509057	10.2307/41509057	A Response	Beverly Gage	The Journal of American History	98	1	2011-06-01T00:00:00Z	pp. 125-127	Organization of American Historians	fla			
