WORDCOUNTS,WEIGHT
the,222
of,165
and,124
history,85
in,76
oral,62
to,56
a,50
with,35
media,32
for,31
on,30
interviews,28
journalism,27
that,24
collection,21
as,20
newsworkers,19
who,18
is,18
histories,18
new,18
are,17
was,16
s,16
they,15
journalists,15
historians,15
their,14
york,14
university,14
press,14
have,14
an,13
also,12
at,11
may,11
he,11
been,11
american,11
i,11
this,11
from,10
but,10
by,10
power,10
most,10
california,10
me,9
collections,9
not,9
labor,9
times,9
communication,9
kaidy,8
program,8
other,8
newspaper,8
gannett,8
were,8
such,8
reporter,8
can,8
news,8
focus,8
or,7
more,7
l,7
all,7
projects,7
stories,7
bonnie,7
brennen,7
work,7
role,7
during,7
editors,7
journal,7
transcribed,6
it,6
neuharth,6
experiences,6
many,6
d,6
larson,6
has,6
information,6
some,6
reporters,6
example,6
issues,6
transcript,6
be,6
james,6
beat,6
guild,5
library,5
no,5
still,5
domination,5
n,5
e,5
only,5
address,5
each,5
available,5
out,5
angeles,5
john,5
state,5
while,5
historical,5
interview,5
understanding,5
used,5
los,5
publishers,5
which,5
editor,5
september,5
washington,5
include,5
although,5
perspective,5
columbia,5
research,5
would,5
than,5
if,4
economic,4
f,4
how,4
poynter,4
southern,4
united,4
former,4
liberal,4
these,4
social,4
support,4
pluralist,4
report,4
past,4
there,4
political,4
institute,4
his,4
institutions,4
local,4
when,4
kaltenborn,4
women,4
prominent,4
its,4
people,4
includes,4
explained,4
carey,4
conditions,4
broadcast,4
t,4
k,4
c,4
early,4
society,4
newspapers,3
way,3
groups,3
others,3
primarily,3
publisher,3
b,3
area,3
center,3
mitch,3
one,3
life,3
expectations,3
studies,3
us,3
protect,3
smith,3
management,3
yard,3
environment,3
rarely,3
al,3
said,3
majority,3
dominant,3
m,3
give,3
reporting,3
worked,3
did,3
ucla,3
comp,3
p,3
relating,3
help,3
do,3
cultural,3
what,3
within,3
notable,3
produced,3
ed,3
maintain,3
brooklyn,3
own,3
o,3
part,3
owners,3
related,3
use,3
rochester,3
contains,3
maintained,3
institutional,3
office,3
spring,3
project,3
thompson,3
like,3
working,3
states,3
forced,3
progressive,3
relations,3
several,3
specific,3
between,3
houses,3
elites,3
th,3
including,3
traditional,3
we,3
y,3
northridge,3
will,2
rights,2
currently,2
business,2
series,2
rather,2
democracy,2
you,2
fields,2
remain,2
possession,2
process,2
frequently,2
began,2
lives,2
employees,2
jobs,2
special,2
about,2
guide,2
chronicle,2
see,2
h,2
raymond,2
effort,2
understand,2
presidential,2
association,2
considered,2
established,2
cover,2
spoke,2
director,2
pulitzer,2
extensive,2
democratic,2
potential,2
syndicate,2
first,2
regional,2
journalist,2
bottom,2
sources,2
catalog,2
journalistic,2
voices,2
paul,2
interests,2
evidence,2
visual,2
paper,2
historiography,2
based,2
company,2
kennedy,2
dollars,2
twenty,2
seven,2
framework,2
chairman,2
mass,2
february,2
klan,2
henry,2
those,2
hanno,2
didn,2
corroborate,2
tell,2
hardt,2
system,2
duplication,2
purchased,2
record,2
focusing,2
eagle,2
voice,2
aspects,2
addresses,2
property,2
howard,2
virginia,2
transferred,2
completed,2
hundred,2
ownership,2
petersburg,2
fired,2
story,2
except,2
events,2
x,2
providing,2
african,2
against,2
creation,2
freedom,2
place,2
navy,2
approach,2
learned,2
questions,2
central,2
microfiche,2
individuals,2
call,2
come,2
connected,2
theories,2
ultimately,2
students,2
described,2
j,2
development,2
photojournalism,2
donald,2
indexed,2
newsroom,2
national,2
exchanged,2
arnold,2
workers,2
willing,2
phone,2
sports,2
after,2
conversation,2
rank,2
captain,2
remains,2
involved,2
maintaining,2
problems,2
contract,2
industry,2
started,2
libraries,2
johnson,2
lists,2
generally,2
st,2
sept,2
startt,2
develop,2
world,2
conventions,2
sun,2
educators,2
quarterly,2
tojournalism,2
hans,2
von,2
major,2
courses,1
revolution,1
jarvis,1
upset,1
implicitly,1
carried,1
things,1
admiral,1
threatened,1
site,1
founding,1
critical,1
hosts,1
archives,1
schools,1
now,1
loudon,1
twelve,1
carlton,1
film,1
interesting,1
san,1
ii,1
locked,1
oa,1
curricula,1
struggle,1
whose,1
ialigtn,1
forever,1
flow,1
today,1
century,1
note,1
baines,1
ethics,1
school,1
butler,1
steadily,1
george,1
sued,1
quo,1
omhestoeth,1
identified,1
names,1
ways,1
corruption,1
vision,1
plays,1
ideology,1
activists,1
schuyler,1
excessive,1
williams,1
techniques,1
dialectical,1
limited,1
employment,1
basic,1
investigation,1
career,1
elizabeth,1
personnel,1
iowa,1
acknowledged,1
reminiscences,1
ctyhll,1
anchor,1
conducted,1
reference,1
ordinary,1
secon,1
worthy,1
notion,1
independence,1
taktotemaosofabnyadne,1
worker,1
bradlee,1
conceptions,1
kept,1
shanahan,1
allen,1
andjimmie,1
reconstruction,1
harry,1
memos,1
enemies,1
fullerton,1
president,1
per,1
eer,1
ua,1
premises,1
rapidly,1
movement,1
executive,1
direct,1
cultivate,1
benjamin,1
class,1
virginian,1
star,1
study,1
envision,1
assigned,1
archived,1
andjoseph,1
black,1
construction,1
birmingham,1
mauthritesmandh,1
white,1
evolution,1
sander,1
list,1
congressional,1
frank,1
thespecific,1
augmented,1
communications,1
populace,1
oxford,1
competition,1
pivotal,1
due,1
constitutes,1
addressing,1
managing,1
incue,1
interpretation,1
lagged,1
fair,1
directory,1
opportunities,1
dent,1
revisiting,1
articles,1
pp,1
rules,1
empathy,1
presidents,1
case,1
grounded,1
pressures,1
bulletin,1
investigate,1
becaus,1
lyndon,1
want,1
female,1
borrowed,1
collect,1
microfilming,1
considerations,1
continuity,1
restricted,1
brandt,1
gurevitch,1
view,1
challenged,1
addressed,1
policy,1
position,1
prestigious,1
