WORDCOUNTS,WEIGHT
the,397
of,249
and,209
in,183
to,151
a,116
that,76
is,74
history,60
for,57
it,49
are,49
american,48
public,47
as,45
not,41
by,40
i,39
historians,38
new,38
more,36
or,32
with,29
they,28
was,27
york,26
we,26
on,26
this,25
but,25
culture,24
about,23
our,23
be,23
one,22
s,22
see,21
profession,21
life,21
most,20
have,20
than,19
at,18
there,18
historical,18
an,17
local,17
from,17
question,17
his,16
their,16
my,16
social,16
hofstadter,16
political,15
diversity,15
he,15
intellectual,15
if,14
such,14
responses,14
synthesis,14
thomas,14
other,13
has,13
politics,13
university,13
bender,13
its,13
united,13
them,13
may,12
am,12
states,12
all,11
survey,11
scholarly,11
work,11
these,11
so,11
been,11
venturesome,10
own,10
only,10
larger,10
questions,10
who,10
scholarship,10
civic,9
respondents,9
some,9
journal,9
academic,9
issues,9
least,9
two,9
do,9
books,9
free,9
were,9
students,9
what,9
national,9
much,9
does,8
professionalism,8
study,8
literary,8
cultural,8
world,8
dewey,8
ideas,8
any,8
cautious,8
groups,7
large,7
ideals,7
experience,7
first,7
seems,7
historiography,7
even,7
influence,7
no,7
too,7
intellectuals,7
because,7
concerns,7
time,7
which,7
can,7
did,7
city,7
think,7
way,6
within,6
richard,6
ways,6
important,6
admired,6
example,6
knowledge,6
activities,6
will,6
ed,6
also,6
present,6
less,6
would,6
relation,6
professional,6
humanities,6
when,6
december,6
believe,6
making,6
want,6
eric,6
now,5
common,5
meaning,5
into,5
before,5
might,5
reading,5
relations,5
nor,5
how,5
frequently,5
foner,5
contact,5
yet,5
pp,5
representation,5
book,5
many,5
john,5
made,5
upon,5
including,5
synthetic,5
times,5
general,5
him,5
state,5
dec,5
education,5
historian,5
must,5
audience,5
list,5
categories,5
discussion,5
writing,5
philosophy,5
between,5
here,5
recent,5
scholar,4
commitment,4
address,4
found,4
robert,4
discipline,4
very,4
review,4
surely,4
adams,4
refer,4
generation,4
translocal,4
rather,4
special,4
praise,4
w,4
four,4
problems,4
could,4
war,4
however,4
james,4
well,4
part,4
gender,4
call,4
level,4
second,4
various,4
thought,4
us,4
toward,4
intellect,4
herbert,4
fact,4
contemporary,4
model,4
council,4
perhaps,4
significance,4
worry,4
essay,4
class,4
publics,4
often,4
ago,4
today,4
table,4
prominence,4
better,4
william,4
while,4
through,4
disciplines,4
named,4
ulrich,4
difference,4
defined,4
point,4
focus,4
gutman,3
difficult,3
democracy,3
college,3
decade,3
committee,3
being,3
certainly,3
nature,3
possibilities,3
rich,3
narrative,3
mind,3
written,3
those,3
questionnaire,3
report,3
ad,3
forthcoming,3
america,3
possible,3
say,3
cited,3
redefining,3
labor,3
quality,3
g,3
interest,3
unity,3
response,3
columbia,3
cohen,3
single,3
find,3
essays,3
higher,3
german,3
respondent,3
burckhardt,3
notion,3
mean,3
rigor,3
direct,3
parts,3
lives,3
origins,3
rice,3
expressed,3
result,3
seven,3
though,3
baltimore,3
explain,3
commitments,3
r,3
civil,3
place,3
fruitful,3
published,3
sense,3
field,3
june,3
value,3
seemed,3
society,3
south,3
inclusive,3
nearly,3
community,3
experiences,3
makes,3
teaching,3
narratives,3
organizations,3
power,3
others,3
lack,3
ought,3
men,3
where,3
karl,3
ordinary,3
style,3
historiographical,3
degree,3
another,3
concern,3
hoc,3
three,3
moral,3
language,3
points,3
educational,3
especially,3
craft,3
narrow,3
topics,3
tendency,3
attention,3
institutions,3
merton,3
fall,3
eugene,3
mentioned,3
struck,3
sciences,3
over,3
each,3
cultures,3
interested,3
seem,3
foundation,3
far,3
identities,3
past,3
professors,3
both,3
presented,3
recognition,3
come,3
wholes,3
wish,3
course,3
already,3
themselves,3
reached,3
among,3
seek,3
race,3
marsden,2
medieval,2
iver,2
later,2
indicated,2
emerson,2
ready,2
praised,2
deserve,2
e,2
gallagher,2
becoming,2
formed,2
live,2
h,2
considerations,2
women,2
themes,2
either,2
hence,2
invention,2
jackson,2
discovers,2
pervasive,2
implications,2
emerged,2
professions,2
great,2
reveal,2
ph,2
religion,2
achieved,2
committed,2
forums,2
autonomous,2
march,2
struggling,2
marc,2
shared,2
vital,2
fine,2
diss,2
vocation,2
reconstruction,2
engage,2
derrida,2
expertise,2
includes,2
professor,2
lectures,2
rooted,2
century,2
learning,2
turn,2
cases,2
tabulation,2
inclusion,2
adult,2
marx,2
americans,2
whose,2
without,2
bring,2
l,2
influential,2
b,2
certain,2
feel,2
space,2
addressing,2
means,2
bloch,2
organized,2
clearly,2
numbers,2
articulated,2
excitement,2
orientation,2
democratic,2
notions,2
descriptive,2
had,2
standards,2
histories,2
method,2
baxter,2
p,2
out,2
term,2
wrongheaded,2
heartening,2
focused,2
mediated,2
recently,2
cannot,2
package,2
aspiration,2
having,2
claiming,2
revealed,2
responding,2
brought,2
purpose,2
curriculum,2
esp,2
nation,2
discussions,2
refined,2
partly,2
relevance,2
rise,2
graduate,2
approach,2
hard,2
next,2
sponsors,2
quite,2
involved,2
around,2
oct,2
soil,2
always,2
generally,2
up,2
progress,2
results,2
ecology,2
inquiries,2
critics,2
higham,2
variety,2
wrote,2
expansion,2
still,2
make,2
coherence,2
neither,2
classroom,2
locality,2
increasingly,2
double,2
statements,2
paul,2
again,2
academy,2
available,2
ask,2
slavery,2
departments,2
abstract,2
oneself,2
diverse,2
end,2
dull,2
readers,2
practice,2
belief,2
number,2
classes,2
divided,2
examples,2
novick,2
values,2
significant,2
unfortunately,2
worse,2
engaging,2
engaged,2
considerable,2
talk,2
peter,2
individual,2
characterized,2
like,2
