WORDCOUNTS,WEIGHT
the,1077
of,658
and,456
in,251
to,218
a,203
american,129
for,101
that,100
new,97
as,93
s,84
on,70
by,66
was,65
were,59
their,57
this,56
with,54
an,52
or,51
at,50
not,50
they,48
july,45
be,43
york,42
culture,42
from,42
history,41
celebrations,41
british,40
revolution,39
national,39
it,37
political,37
independence,37
people,36
who,36
boston,35
local,34
celebration,34
i,32
these,32
philadelphia,30
print,30
king,29
is,29
gazette,28
england,27
nationalism,27
such,27
would,27
had,26
rituals,26
politics,25
journal,25
almanack,25
all,24
june,24
popular,24
ed,23
but,23
america,22
its,22
rites,22
george,22
ritual,20
could,20
patriots,20
only,20
more,20
one,19
almanacs,19
first,19
most,19
public,19
day,19
after,19
state,19
charles,19
revolutionary,18
fourth,18
his,18
days,18
war,18
john,18
declaration,18
past,18
into,17
than,17
future,17
present,17
david,17
printed,17
year,16
nation,16
which,16
through,16
even,15
during,15
pennsylvania,15
did,15
have,15
d,15
early,15
those,14
william,14
act,14
society,14
anniversary,14
almanac,14
english,13
other,13
century,13
assent,13
festive,13
see,13
like,13
often,13
continental,13
stamp,13
iii,13
virginia,13
common,12
if,12
church,12
toasts,12
massachusetts,12
yet,12
also,12
ideology,12
colonists,12
son,12
years,12
there,11
events,11
rhetoric,11
made,11
over,11
are,11
while,11
birthday,11
both,11
lexington,10
liberty,10
holidays,10
thus,10
funeral,10
when,10
he,10
diary,10
french,10
many,10
tories,10
thirteen,10
life,10
patriot,10
between,10
them,10
colonial,10
cambridge,10
way,9
has,9
some,9
unity,9
old,9
anniversaries,9
calendar,9
joy,9
practice,9
so,9
henry,9
been,9
citizens,9
symbolic,9
celebratory,9
our,9
will,8
celebrate,8
being,8
every,8
richard,8
royal,8
against,8
packet,8
town,8
out,8
portsmouth,8
well,8
published,8
order,8
theater,8
ephemeris,8
up,8
procession,8
festivity,8
hampshire,8
upon,8
peter,8
thomas,8
newspapers,8
country,8
down,8
what,8
accounts,8
recent,8
news,8
traditional,8
among,8
tory,7
character,7
ii,7
mayhew,7
celebrating,7
americans,7
no,7
edward,7
university,7
expressed,7
my,7
came,7
carolina,7
cultural,7
january,7
part,7
civil,7
washington,7
world,7
ofjuly,7
social,7
street,7
paul,7
appeared,7
time,7
forms,7
celebrated,7
birth,7
congress,7
held,7
anderson,7
continued,7
itself,7
shaw,7
nationalist,7
making,7
imperial,7
radicalism,7
themselves,7
north,7
should,7
later,6
republican,6
h,6
freeman,6
before,6
whigs,6
tradition,6
great,6
account,6
diss,6
moment,6
advertiser,6
men,6
festivals,6
occasion,6
perfect,6
may,6
declaring,6
repeal,6
revolutionaries,6
important,6
union,6
moore,6
your,6
opposition,6
already,6
london,6
esp,6
though,6
newspaper,6
always,6
south,6
practices,6
action,6
alliance,6
community,6
religious,6
included,6
same,6
do,6
remarkable,6
secular,6
eighteenth,6
mourning,6
