WORDCOUNTS,WEIGHT
the,46
of,46
and,18
is,12
that,10
harvard,10
a,10
to,9
in,8
s,8
biographies,8
sibley,8
shipton,8
as,7
he,6
by,5
graduates,5
one,5
which,5
his,4
was,4
history,4
men,4
it,3
but,3
now,3
this,3
most,3
samuel,3
has,3
whom,3
all,3
new,3
volumes,3
with,3
many,3
at,2
thomas,2
from,2
such,2
spade,2
two,2
ever,2
washington,2
no,2
only,2
indeed,2
like,2
would,2
volume,2
course,2
again,2
who,2
introduction,2
says,2
clifford,2
had,2
are,2
words,2
on,2
say,2
press,2
three,2
james,2
been,2
when,2
john,2
england,2
historical,2
than,2
those,2
university,2
so,2
or,2
oliver,2
were,2
biographical,2
society,2
growing,2
e,1
pennsylvania,1
soft,1
laments,1
omission,1
children,1
butterfield,1
accuracy,1
reviews,1
continuing,1
critical,1
unique,1
colonists,1
man,1
treat,1
not,1
faith,1
twelve,1
notes,1
cambridge,1
interesting,1
winthrop,1
same,1
selected,1
less,1
against,1
meet,1
moral,1
struck,1
york,1
josiah,1
have,1
today,1
does,1
hallmarks,1
give,1
publication,1
record,1
overly,1
jared,1
otis,1
peter,1
pains,1
picture,1
explanation,1
forgotten,1
george,1
true,1
if,1
published,1
jeremiah,1
delivery,1
brain,1
exist,1
find,1
magnum,1
david,1
grown,1
quincy,1
jonathan,1
started,1
short,1
mccord,1
cooper,1
more,1
sum,1
benign,1
going,1
here,1
encyclopedia,1
iv,1
summer,1
product,1
him,1
set,1
description,1
suggest,1
orary,1
plutarch,1
power,1
name,1
century,1
hutchinson,1
brief,1
contrary,1
brattle,1
hitherto,1
belknap,1
original,1
inclusion,1
savelle,1
dimensions,1
reason,1
methodology,1
sixty,1
intellectual,1
inspirational,1
notables,1
belcher,1
cutler,1
full,1
appear,1
returned,1
work,1
nature,1
after,1
byles,1
mather,1
foreword,1
paine,1
morison,1
some,1
sound,1
fact,1
certain,1
auchmuty,1
told,1
inclined,1
refreshing,1
degree,1
insight,1
for,1
opus,1
least,1
american,1
other,1
nine,1
choose,1
graduated,1
filiopietistic,1
k,1
life,1
selection,1
sense,1
rest,1
could,1
bell,1
illustrations,1
extent,1
become,1
massachusetts,1
very,1
expense,1
timothy,1
explains,1
hands,1
feel,1
wrote,1
half,1
something,1
content,1
calls,1
wentworth,1
publications,1
be,1
vacationist,1
enterprise,1
milk,1
scholar,1
out,1
centuries,1
changed,1
notorious,1
job,1
up,1
never,1
probably,1
lyman,1
selectors,1
even,1
significant,1
whole,1
pp,1
stop,1
end,1
journal,1
traditional,1
benning,1
oxenbridge,1
much,1
during,1
book,1
among,1
dummer,1
maverick,1
diversity,1
thatcher,1
writing,1
an,1
representative,1
committee,1
index,1
max,1
organized,1
xxviii,1
pen,1
andrew,1
nothing,1
its,1
parson,1
sketches,1
honbook,1
eliot,1
candor,1
present,1
liberal,1
warren,1
robert,1
william,1
walls,1
long,1
wit,1
pious,1
