id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/3874888	10.2307/3874888	The Business of Transatlantic Migration between Europe and the USA, 1900-1914	Drew Keeling	The Journal of Economic History	66	2	2006-06-01T00:00:00Z	pp. 476-480	Cambridge University Press, Economic History Association	fla			
10.2307/40984780	10.2307/40984780	Hoover's Truce: Wage Rigidity in the Onset of the Great Depression	Jonathan D. Rose	The Journal of Economic History	70	4	2010-12-01T00:00:00Z	pp. 843-870	Cambridge University Press, Economic History Association	fla		This article analyzes President Herbert Hoover's role in causing wage rigidity during the onset of the Great Depression, through two conferences in which he encouraged business leaders to maintain high wages. New data on the set of firms and trade associations attending these conferences provides evidence that Hoover's conferences delayed the cuts in hourly wages at a small number of large firms, although this result may have been due to characteristics of the particular industries the firms represented. In a cross-section of industries, there is no evidence that industry representation at the December conference affected the timing of wage cuts.	
10.2307/40263925	10.2307/40263925	Nationalizations and the Development of Transport Systems: Cross-Country Evidence from Railroad Networks, 1860–1912	Dan Bogart	The Journal of Economic History	69	1	2009-03-01T00:00:00Z	pp. 202-237	Cambridge University Press, Economic History Association	fla		Many states nationalized portions of their railroad network between 1860 and 1912. This article uses new cross-country data to examine which factors contributed to nationalizations and how nationalizations influenced network expansion. I find evidence that nationalizations were greater in countries with low constraints on the executive branch, with French and German civil law systems, and where neighboring countries had higher military capability. I also find evidence that nationalizations reduced mileage growth. The results suggest that external military threats increased the appeal of nationalizations, while legal and political institutions influenced their costs. They also suggest that nationalizations reduced investment incentives.	
10.2307/2566319	10.2307/2566319	To Raise the Golden Anchor? Financial Crises and Uncertainty during the Great Depression	J. Peter Ferderer, David A. Zalewski	The Journal of Economic History	59	3	1999-09-01T00:00:00Z	pp. 624-658	Cambridge University Press, Economic History Association	fla		This study examines the interplay between financial crises, uncertainty, and economic growth during the interwar period. Comparing the experiences of ten countries, we provide evidence that reductions in the credibility of a country's commitment to the gold standard generated capital flight and higher interest rate volatility. This volatility, in turn, was inversely correlated with economic growth. These results suggest that financial crises helped propagate the Great Depression, in part, by increasing uncertainty.	
10.2307/2566440	10.2307/2566440	A Response to Harley and Crafts	Peter Temin	The Journal of Economic History	60	3	2000-09-01T00:00:00Z	pp. 842-846	Cambridge University Press, Economic History Association	fla			
10.2307/2566501	10.2307/2566501	Why Did Prices Rise in the 1930s?	Christina D. Romer	The Journal of Economic History	59	1	1999-03-01T00:00:00Z	pp. 167-199	Cambridge University Press, Economic History Association	fla		Prices rose in most years between 1933 and 1941 even though output was substantially below trend. This inflation cannot be explained as simply the effect of devaluation and changes in expectations. Rather, because prewar price changes depended significantly on the growth rate of real output, the extraordinarily rapid growth after 1933 was an important force leading to inflation. At the same time, the NIRA, by encouraging minimum wages and collusive pricing arrangements, caused a crucial diminution of the usual deviation-from-trend effect. The conjunction of these forces caused inflation at a time when the U.S. economy remained depressed.	
10.2307/3874852	10.2307/3874852	Rethinking the Jacksonian Economy: The Impact of the 1832 Bank Veto on Commercial Banking	Jane Knodell	The Journal of Economic History	66	3	2006-09-01T00:00:00Z	pp. 541-574	Cambridge University Press, Economic History Association	fla		Revisiting an old debate between "traditional" historians and "New" economic historians about the short-run monetary effects of President Jackson's war on the Second Bank, I offer new arguments for the traditionalists. I develop a framework accounting for growth in commercial bank credit based on the "investment club" characteristics of antebellum state-chartered banking and apply it to state bank balance sheet data for 1830-1836. The removal of the Second Bank indeed magnified the boom in commercial banking, and the replacement of Second Bank branches with state-chartered banks as lenders and federal government depositories amplified the boom in frontier lands and state debt.	
10.2307/2698201	10.2307/2698201	Erratum: Book Reviews		The Journal of Economic History	62	2	2002-06-01T00:00:00Z	p. 587	Cambridge University Press, Economic History Association	fla			
10.2307/2123121	10.2307/2123121	The Economics of Spatial Network Externalities and the Dynamics of Railway Gauge Standardization	Douglas J. Puffert	The Journal of Economic History	52	2	1992-06-01T00:00:00Z	pp. 449-452	Cambridge University Press, Economic History Association	fla			
10.2307/2566687	10.2307/2566687	The Impact of Immigration on American Import Trade in the Late Nineteenth and Early Twentieth Centuries	James A. Dunlevy, William K. Hutchinson	The Journal of Economic History	59	4	1999-12-01T00:00:00Z	pp. 1043-1062	Cambridge University Press, Economic History Association	fla		Studies of the contemporary period for the United States and for Canada have established that the presence of an immigrant population is associated with an increase in trade between the immigrants' host and origin countries. We wish to discover if such a protrade phenomenon was systematically associated with the massive inflow of immigrants to the United States during the 40 years preceding World War I. Applying a gravity model to U.S. imports of 78 commodities from 17 countries at five-year intervals, we find support for a broad pro-import immigrant effect, especially for more finished and more differentiated goods.	
10.2307/2566688	10.2307/2566688	Private Weather Organizations and the Founding of the United States Weather Bureau	Erik D. Craft	The Journal of Economic History	59	4	1999-12-01T00:00:00Z	pp. 1063-1071	Cambridge University Press, Economic History Association	fla			
10.2307/3874860	10.2307/3874860	Estimating Economic Growth in the Middle East since 1820	Şevket Pamuk	The Journal of Economic History	66	3	2006-09-01T00:00:00Z	pp. 809-828	Cambridge University Press, Economic History Association	fla		This study provides, for the first time, an overview of the growth record of the Middle East since 1820 and inserts it into a comparative framework. GDP per capita estimates are offered for individual countries in the region for the benchmark years of 1913, 1870, and 1820. The Middle East began to participate in modern economic growth during the nineteenth century. Yet, per capita income differences with the high-income regions of the world widened considerably until World War I. In the twentieth century, the most important single factor contributing to increases in per capita incomes was oil.	
