WORDCOUNTS,WEIGHT
the,313
of,223
in,170
and,159
to,120
education,91
literacy,63
for,63
age,56
was,55
a,50
by,43
schooling,43
males,40
that,39
pp,36
females,34
n,33
formal,33
instruction,31
grubb,31
percent,30
not,26
informal,26
servants,25
were,25
had,23
see,23
servant,23
have,23
philadelphia,22
urban,22
educational,22
contracts,22
at,21
their,21
with,21
immigrant,21
this,21
children,20
rural,20
contract,20
schools,20
evidence,20
only,19
pennsylvania,19
been,18
as,18
from,18
employers,18
be,18
than,18
or,17
between,17
may,16
it,16
is,16
more,16
areas,16
on,16
reading,15
an,15
cost,15
countryside,14
other,14
new,14
american,13
over,13
ages,13
would,13
german,12
school,12
did,12
because,12
republic,12
which,12
years,12
methods,11
these,11
being,11
s,11
choice,11
after,11
when,11
economic,10
expansion,10
female,10
months,10
but,10
towns,10
time,10
colonial,10
revolution,10
percentage,10
rates,10
proportion,9
servitude,9
total,9
before,9
most,9
writing,9
achieved,9
farley,9
labor,9
roughly,9
common,8
they,8
about,8
history,8
kaestle,8
also,8
acquired,8
those,8
who,8
taught,8
stipulated,8
relative,8
pillars,8
table,7
read,7
under,7
home,7
receiving,7
growth,7
such,7
america,7
thus,7
immigrants,7
early,7
contracting,7
child,6
therefore,6
jensen,6
all,6
bonds,6
specified,6
loosening,6
into,6
same,6
first,6
ciphering,6
sources,6
winter,6
less,6
free,6
auction,6
some,6
must,6
write,6
method,6
redemptioners,6
given,6
among,6
poor,5
parity,5
york,5
no,5
if,5
male,5
incidence,5
indicates,5
delaware,5
experience,5
consistent,5
rise,5
provide,5
england,5
do,5
contracted,5
redemptioner,5
can,5
number,5
cremin,5
both,5
trend,5
social,5
typically,5
level,5
length,5
journal,5
employer,5
society,5
soltow,4
fell,4
usually,4
service,4
transformation,4
united,4
university,4
fishlow,4
then,4
any,4
constant,4
women,4
two,4
geographic,4
provision,4
human,4
important,4
decades,4
j,4
distribution,4
different,4
capital,4
stevens,4
found,4
p,4
farmers,4
government,4
book,4
type,4
masters,4
never,4
outside,4
behind,4
whether,4
however,4
almost,4
directly,4
disappearance,4
investment,4
work,4
little,4
through,4
city,4
training,4
example,4
increase,4
measure,4
clauses,4
states,4
apprenticeship,4
difference,4
there,4
good,4
least,4
although,4
period,4
so,4
reformers,4
gazette,4
enrollment,4
high,4
few,4
acquire,4
stipulations,4
duration,4
adult,4
provided,4
difficult,3
enough,3
does,3
phrased,3
without,3
rather,3
how,3
levels,3
substitution,3
parents,3
why,3
analysis,3
white,3
european,3
marginal,3
likely,3
lagged,3
sex,3
presents,3
included,3
instructed,3
lower,3
chose,3
occupational,3
europe,3
addition,3
are,3
longer,3
location,3
unknown,3
could,3
advantage,3
universal,3
state,3
historical,3
considerable,3
initial,3
though,3
what,3
population,3
form,3
until,3
signature,3
recorded,3
negotiated,3
public,3
future,3
used,3
cressy,3
already,3
county,3
gender,3
significant,3
sold,3
during,3
manuscript,3
net,3
perlmann,3
unpublished,3
per,3
stayed,3
pattern,3
three,3
crisis,3
offer,3
shirley,3
one,3
order,3
cases,3
amount,3
labour,3
substitute,3
master,3
research,3
c,3
up,3
idle,3
much,3
paid,3
versus,3
settled,3
notes,3
pay,2
republican,2
sample,2
second,2
off,2
emigration,2
note,2
residing,2
estimated,2
disaggregated,2
steadily,2
science,2
interpretation,2
london,2
bound,2
becomes,2
represented,2
stipulating,2
opportunity,2
expanded,2
importance,2
likewise,2
large,2
extra,2
proportionally,2
asserted,2
labyrinths,2
acquisition,2
albert,2
purchased,2
quantitative,2
western,2
occurred,2
just,2
mary,2
migration,2
ed,2
farm,2
graff,2
determine,2
conjunction,2
costs,2
industrial,2
shorter,2
densely,2
declining,2
invention,2
long,2
indentures,2
gilmore,2
providing,2
appear,2
particular,2
chester,2
each,2
many,2
whereas,2
shows,2
lived,2
societies,2
higher,2
populated,2
suggesting,2
rule,2
sexes,2
erickson,2
typical,2
economics,2
able,2
becker,2
jacoby,2
reveal,2
contemporary,2
literate,2
nevertheless,2
compete,2
passage,2
measures,2
last,2
lawrence,2
late,2
further,2
equally,2
william,2
equal,2
effective,2
capita,2
appears,2
unclear,2
rose,2
recently,2
adults,2
informally,2
younger,2
record,2
year,2
assumed,2
lengths,2
counties,2
books,2
socialization,2
has,2
extent,2
support,2
dec,2
mass,2
schofield,2
well,2
colonies,2
vol,2
prior,2
data,2
paucity,2
range,2
average,2
quantity,2
household,2
became,2
its,2
caught,2
findings,2
steady,2
october,2
largely,2
jan,2
chosen,2
formation,2
locations,2
development,2
received,2
reveals,2
quality,2
explorations,2
cambridge,2
national,2
de,2
author,2
finally,2
accounted,2
amounts,2
change,2
ability,2
steinfeld,2
general,2
david,2
consumption,2
field,2
sparsely,2
things,2
arrivals,2
percentages,2
kind,2
increased,2
demand,2
small,2
legally,2
