WORDCOUNTS,WEIGHT
the,1175
of,485
to,275
in,260
and,258
tax,217
a,215
was,149
that,137
farms,130
were,122
for,113
as,105
on,97
this,89
by,89
farm,84
farmers,74
crown,73
with,68
company,65
from,64
it,63
is,63
general,61
king,60
century,58
de,57
p,53
s,50
an,49
france,49
between,47
during,46
at,45
system,43
his,42
lease,42
these,40
there,39
their,39
not,39
after,38
seventeenth,36
they,34
colbert,33
revenues,32
or,31
capital,31
one,30
had,30
which,30
livres,30
however,29
more,29
see,29
taxes,28
debt,27
d,27
he,26
law,26
finance,26
royal,25
fermes,25
would,25
through,25
be,25
no,24
risk,24
contracts,24
contract,24
rights,23
could,23
gabelles,22
its,22
when,22
aides,22
farmer,21
price,21
farming,21
increase,21
property,21
des,21
vol,20
same,20
also,20
increased,20
first,19
most,19
because,19
many,19
paris,19
receipts,19
johnson,19
about,18
pp,18
two,18
are,18
early,18
all,17
value,17
but,17
made,17
so,17
percent,17
competitive,16
loans,16
les,16
le,16
second,16
new,16
institutions,16
who,16
half,16
government,15
rates,15
et,15
have,15
much,15
did,14
histoire,14
amount,14
than,14
signed,14
war,14
example,14
revenue,14
end,14
banking,14
number,14
fiscal,14
rate,13
finances,13
bonney,13
data,13
under,13
french,13
financial,13
time,13
investment,13
over,13
unified,13
grosses,12
cinq,12
created,12
history,12
other,12
i,12
e,12
l,12
leases,12
costs,12
only,12
minister,12
dessert,12
period,12
associated,12
roux,12
regime,12
chambre,12
auctions,12
if,11
such,11
clamageran,11
cost,11
result,11
required,11
justice,11
often,11
bayard,11
both,11
pool,11
into,10
able,10
real,10
r,10
will,10
eighteenth,10
louis,10
trade,10
three,10
table,10
collectors,10
years,10
aversion,9
before,9
given,9
journal,9
how,9
billets,9
well,9
least,9
bank,9
members,9
figure,9
matthews,9
use,9
like,9
collected,9
state,9
effect,9
owed,9
then,9
control,9
money,9
average,9
large,8
argent,8
lesfermes,8
collection,8
against,8
expected,8
may,8
n,8
too,8
traites,8
xiv,8
used,8
prices,8
revolution,8
order,8
small,8
ormesson,8
largest,8
payments,8
previous,8
salt,8
la,8
averse,8
why,8
known,8
what,8
them,8
collector,8
public,8
corruption,7
modern,7
those,7
auction,7
taxation,7
relatively,7
incentives,7
reforms,7
old,7
university,7
monde,7
scale,7
brought,7
year,7
protect,7
up,7
economic,7
feydeau,7
larger,7
full,7
individual,7
allowed,7
payment,7
ordonnance,7
consolidation,7
any,7
press,7
simply,7
institutional,7
occurred,6
being,6
economics,6
along,6
economies,6
pay,6
forced,6
tournois,6
higher,6
york,6
without,6
growth,6
process,6
ministers,6
tariffs,6
cole,6
out,6
failure,6
part,6
manage,6
estates,6
periods,6
tailles,6
fact,6
john,6
hand,6
significant,6
clear,6
him,6
credit,6
internal,6
financiers,6
usually,6
been,6
began,6
composed,6
appendix,6
terms,6
using,6
argument,6
evidence,6
sur,6
should,6
decentralized,5
way,5
resulted,5
