id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/2703149	10.2307/2703149	New Farms for a New World	Alan Taylor	Reviews in American History	20	3	1992-09-01T00:00:00Z	pp. 303-307	The Johns Hopkins University Press	brv	Robert Cole's World: Agriculture and Society in Early Maryland|Lois Green Carr;Russell R. Menard;Lorena S. Walsh		
10.2307/30030839	10.2307/30030839	Black Communities in Antebellum America: Buttressing Held Views	Wilson J. Moses	Reviews in American History	25	4	1997-12-01T00:00:00Z	pp. 557-563	The Johns Hopkins University Press	brv	Slavery and Freedom in the Rural North: African Americans in Monmouth County, New Jersey, 1665-1865|Graham Russell Hodges, In Hope of Liberty: Culture, Community, and Protest among Northern Blacks, 1700-1860|James Oliver Horton;Lois E. Horton, Platform for Change: The Foundations of the Northern Free Black Community, 1775-1865|Harry Reed		
10.2307/30031039	10.2307/30031039	Histories of Pragmatism	Bruce Kuklick	Reviews in American History	29	1	2001-03-01T00:00:00Z	pp. 133-140	The Johns Hopkins University Press	brv	A Pragmatist's Progress? Richard Rorty and American Intellectual History|John Pettegrew		
10.2307/30031231	10.2307/30031231	Jim Crow's Cold War	H. W. Brands	Reviews in American History	29	2	2001-06-01T00:00:00Z	pp. 298-303	The Johns Hopkins University Press	brv	Cold War Civil Rights: Race and the Image of American Democracy|Mary L. Dudziak		
10.2307/30031029	10.2307/30031029	The California Gold Rush, the West, and the Nation	Andrew C. Isenberg	Reviews in American History	29	1	2001-03-01T00:00:00Z	pp. 62-71	The Johns Hopkins University Press	brv	Land of Golden Dreams: California in the Gold Rush Decade, 1848-1858|Peter J. Blodgett, Art of the Gold Rush|Janice T. Driesbach;Janice T. Dreisbach;Harvey L. Jones;Katherine Church Holland, Intimate Frontiers: Sex, Gender, and Culture in Old California|Albert L. Hurtado;Albert Hurtado, Roaring Camp: The Social World of the California Gold Rush|Susan Lee Johnson		
10.2307/2703337	10.2307/2703337	Back to Nature	Richard White	Reviews in American History	22	1	1994-03-01T00:00:00Z	pp. 1-6	The Johns Hopkins University Press	brv	The Wealth of Nature: Environmental History and the Ecological Imagination|Donald Worster		
10.2307/2703338	10.2307/2703338	"Bone of Bone and Flesh of Flesh"	Melvin I. Urofsky	Reviews in American History	22	1	1994-03-01T00:00:00Z	pp. 7-13	The Johns Hopkins University Press	brv	The Jewish People in America|Henry L. Feingold, A Time for Planting: The First Migration, 1654-1820|Eli Faber, A Time for Gathering: The Second Migration, 1820-1880|Hasia R. Diner, A Time for Building: The Third Migration, 1880-1920|Gerald Sorin, A Time for Searching: Entering the Mainstream, 1920-1945|Henry L. Feingold, A Time for Healing: American Jewry since World War II|Edward S. Shapiro		
10.2307/2703238	10.2307/2703238	Love and Politics in the "State of Wisfollette"	John E. Miller	Reviews in American History	23	1	1995-03-01T00:00:00Z	pp. 68-73	The Johns Hopkins University Press	brv	The La Follettes of Wisconsin: Love and Politics in Progressive America|Bernard A. Weisberger		
10.2307/30030811	10.2307/30030811	The Crisis of Confederate Womanhood	Nina Silber	Reviews in American History	25	3	1997-09-01T00:00:00Z	pp. 422-426	The Johns Hopkins University Press	brv	Mothers of Invention: Women of the Slaveholding South in the American Civil War|Drew Gilpin Faust		
10.2307/2703207	10.2307/2703207	A Tale of Two Workers	Gordon Morris Bakken	Reviews in American History	21	2	1993-06-01T00:00:00Z	pp. 244-246	The Johns Hopkins University Press	brv	In the Floating Army: F. C. Mills on Itinerant Life in California, 1914|Gregory R. Woirol, Workingmen in San Francisco, 1880-1901|Jules Tygiel		
10.2307/2703396	10.2307/2703396	The World of Maurice Thomson	Paul G. E. Clemens	Reviews in American History	21	4	1993-12-01T00:00:00Z	pp. 575-583	The Johns Hopkins University Press	brv	Merchants and Revolution: Commercial Change, Political Conflict, and London's Overseas Traders, 1550-1653|Robert Brenner		
10.2307/2702820	10.2307/2702820	Back to Brandeis	Samuel Krislov	Reviews in American History	22	4	1994-12-01T00:00:00Z	pp. 685-690	The Johns Hopkins University Press	brv	Brandeis: Beyond Progressivism|Phillipa Strum		
10.2307/2702995	10.2307/2702995	What's Wrong with Industrial Relations?	Ronald W. Schatz	Reviews in American History	23	4	1995-12-01T00:00:00Z	pp. 693-698	The Johns Hopkins University Press	brv	The Origins and Evolution of the Field of Industrial Relations in the United States|Bruce E. Kaufman		
10.2307/30031255	10.2307/30031255	The Cost of Cost Analysis: Changing Agendas in Poverty Research	Margaret Garb	Reviews in American History	29	4	2001-12-01T00:00:00Z	pp. 587-596	The Johns Hopkins University Press	brv	Poverty Knowledge: Social Science, Social Policy and the Poor in Twentieth-Century U.S. History|Alice O'Connor		
10.2307/30030911	10.2307/30030911	The Wallace Legacy	Matthew Dallek	Reviews in American History	26	2	1998-06-01T00:00:00Z	pp. 457-461	The Johns Hopkins University Press	brv	From George Wallace to Newt Gingrich: Race in the Conservative Counterrevolution, 1963-1994|Dan T. Carter		
10.2307/30031035	10.2307/30031035	Shopping for America in Mississippi, or How I Learned to Stop Complaining and Love the Pemberton Mall	Christopher Morris	Reviews in American History	29	1	2001-03-01T00:00:00Z	pp. 103-110	The Johns Hopkins University Press	brv	American Dreams in Mississippi: Consumers, Poverty, and Culture 1830-1998|Ted Ownby		
10.2307/30031040	10.2307/30031040	Disconnecting: Social and Civic Life in America since 1965	Robyn Muncy, Robin Muncy	Reviews in American History	29	1	2001-03-01T00:00:00Z	pp. 141-149	The Johns Hopkins University Press	brv	Bowling Alone: The Collapse and Revival of American Community|Robert D. Putnam		
10.2307/2702990	10.2307/2702990	"I Become More Radical with Every Year": The Intellectual Odyssey of Vernon Louis Parrington	David W. Levy	Reviews in American History	23	4	1995-12-01T00:00:00Z	pp. 663-668	The Johns Hopkins University Press	brv	V. L. Parrington: Through the Avenue of Art|H. Lark Hall		
10.2307/30031210	10.2307/30031210	Forgotten Fellow Travelers in the Struggle against the War	Charles F. Howlett	Reviews in American History	28	4	2000-12-01T00:00:00Z	pp. 615-624	The Johns Hopkins University Press	brv	The Strangest Dream: Communism, Anticommunism and the U.S. Peace Movement, 1945-1963|Robbie Lieberman		
10.2307/30031125	10.2307/30031125	Lies and Times: The Changing Genre of Biography	Harry Watson	Reviews in American History	28	1	2000-03-01T00:00:00Z	pp. 45-49	The Johns Hopkins University Press	brv	Constructing American Lives: Biography and Culture in Nineteenth-Century America|Scott E. Casper		
10.2307/30031033	10.2307/30031033	Reining in the Federal Judiciary: Louis D. Brandeis and Erie v. Tompkins	David L. Stebenne	Reviews in American History	29	1	2001-03-01T00:00:00Z	pp. 93-97	The Johns Hopkins University Press	brv	Brandeis and the Progressive Constitution: Erie, the Judicial Power and the Politics of the Federal Courts in Twentieth-Century America|Edward A. Purcell Jr.		
10.2307/2703108	10.2307/2703108	Women's Sports	Randy Roberts	Reviews in American History	20	2	1992-06-01T00:00:00Z	pp. 242-246	The Johns Hopkins University Press	brv	Women's Sports: A History|Allen Guttmann		
10.2307/2702878	10.2307/2702878	Immigration and Ethnicity in Comparative Perspective	Dirk Hoerder	Reviews in American History	20	4	1992-12-01T00:00:00Z	pp. 575-579	The Johns Hopkins University Press	brv	Coming to America: A History of Immigration and Ethnicity in American Life.|Roger Daniels		
10.2307/30030848	10.2307/30030848	The Troublesome History of Foundations: Correcting a Contentious History	Barry D. Karl	Reviews in American History	25	4	1997-12-01T00:00:00Z	pp. 612-618	The Johns Hopkins University Press	brv	Private Wealth and Public Life: Foundation Philanthropy and the Reshaping of American Social Policy from the Progressive Era to the New Deal|Judith Sealander		
10.2307/30030835	10.2307/30030835	The Triumph of Democratic Capitalism: Without the Democracy and the Capitalism	Michael S. Sherry	Reviews in American History	25	4	1997-12-01T00:00:00Z	pp. 531-536	The Johns Hopkins University Press	brv	We Now Know: Rethinking Cold War History|John Lewis Gaddis		
10.2307/30031134	10.2307/30031134	Environmentalists by Nature: The Postwar America of Samuel Hays	Christopher C. Sellers	Reviews in American History	28	1	2000-03-01T00:00:00Z	pp. 112-119	The Johns Hopkins University Press	brv	Explorations in Environmental History|Samuel Hays		
10.2307/2703163	10.2307/2703163	Watching the Doctors	Kenneth M. Ludmerer	Reviews in American History	20	3	1992-09-01T00:00:00Z	pp. 386-390	The Johns Hopkins University Press	brv	Strangers at the Bedside: A History of How Law and Ethics Transformed Medical Decision Making|David J. Rothman		
10.2307/30031144	10.2307/30031144	The Migration of the Non-English to Eighteenth-Century Colonial America	David Eltis	Reviews in American History	28	2	2000-06-01T00:00:00Z	pp. 181-186	The Johns Hopkins University Press	brv	Trade in Strangers: The Beginnings of Mass Migration to North America|Marianne S. Wokeck		
10.2307/30030726	10.2307/30030726	Crying Wolf: American Anticommunism	Richard M. Fried	Reviews in American History	24	4	1996-12-01T00:00:00Z	pp. 681-685	The Johns Hopkins University Press	brv	Not without Honor: The History of American Anticommunism|Richard Gid Powers		
