WORDCOUNTS,WEIGHT
the,172
of,112
and,89
in,60
to,59
white,56
a,55
women,31
men,30
black,30
was,27
that,27
hodes,25
as,24
with,21
by,21
s,21
p,20
for,17
on,17
her,16
their,14
is,13
history,13
between,13
were,12
south,11
it,11
racial,11
at,10
or,10
lynching,10
she,9
sex,9
this,9
an,9
american,8
about,8
but,8
be,8
which,8
argues,8
have,8
race,8
they,7
not,7
from,7
sexual,7
status,7
nell,7
slavery,6
southern,6
more,6
power,6
book,6
historical,6
political,6
social,6
liaison,6
century,6
slave,6
dorothea,5
one,5
class,5
violence,5
most,5
two,5
long,5
also,5
here,5
others,5
over,5
out,5
case,5
practice,5
local,5
work,5
era,5
so,5
cases,5
when,5
now,4
he,4
adultery,4
way,4
later,4
sizer,4
yet,4
nineteenth,4
no,4
these,4
rape,4
only,4
lewis,4
edmund,4
all,4
had,4
could,4
effort,4
color,4
late,4
what,4
war,4
reviews,4
them,4
whether,4
see,4
particular,4
woman,4
children,4
some,4
w,4
made,4
its,4
freedom,4
such,4
liaisons,4
neighbors,4
least,4
polly,4
would,4
illicit,4
marriage,4
than,4
north,4
transgressions,3
without,3
rather,3
if,3
economic,3
been,3
who,3
direct,3
freedmen,3
then,3
antebellum,3
his,3
law,3
control,3
bastardy,3
fact,3
december,3
did,3
politics,3
called,3
new,3
man,3
those,3
reading,3
issue,3
perhaps,3
free,3
because,3
well,3
chapter,3
whiteness,3
both,3
circumstances,3
including,3
became,3
williamson,3
identity,3
categories,3
issues,3
chapters,3
question,3
patriarchy,3
ancestry,3
kind,3
after,3
discourse,3
into,3
sexuality,3
around,3
several,3
become,3
research,3
descendants,3
up,3
among,3
conversations,3
consented,3
may,2
carried,2
complaint,2
equality,2
variety,2
across,2
civilization,2
fear,2
lines,2
cullen,2
determine,2
poor,2
broad,2
community,2
began,2
legal,2
contribution,2
often,2
accusation,2
pp,2
analysis,2
robin,2
consequences,2
likely,2
factors,2
murder,2
divorce,2
rules,2
thought,2
serve,2
university,2
familiar,2
any,2
before,2
every,2
threat,2
first,2
t,2
followed,2
physical,2
suggested,2
each,2
many,2
whites,2
are,2
commission,2
lyde,2
testimonies,2
scholars,2
best,2
found,2
entered,2
half,2
documents,2
inquiry,2
time,2
particularly,2
subsequent,2
past,2
there,2
strength,2
klan,2
antilynching,2
understood,2
carefully,2
corroborating,2
notes,2
lane,2
record,2
teasing,2
maintain,2
problem,2
has,2
historians,2
hierarchies,2
patriarchal,2
march,2
jim,2
failure,2
remained,2
years,2
line,2
martha,2
suggests,2
met,2
part,2
terrorism,2
civil,2
press,2
gender,2
tried,2
compellingly,2
introduction,2
largely,2
behavior,2
complicated,2
relationships,2
development,2
difference,2
joel,2
charts,2
b,2
g,2
although,2
sense,2
d,2
period,2
speculations,2
finds,2
legally,2
charles,2
concerns,2
defied,2
newspapers,2
themselves,2
scholarship,2
boundaries,2
reached,2
can,2
structure,2
national,2
bourne,2
given,2
journal,2
wife,2
much,2
kelley,2
we,2
evidence,2
asked,2
concerted,2
thorough,2
appeal,1
palette,1
final,1
resolve,1
populace,1
will,1
debunk,1
threatened,1
rights,1
go,1
critical,1
accepting,1
therefore,1
realm,1
coercive,1
broadens,1
bertram,1
led,1
currently,1
relationship,1
second,1
alleged,1
done,1
transforming,1
uniquely,1
matter,1
absence,1
hopes,1
taken,1
continued,1
testimony,1
sued,1
dilemma,1
multiple,1
observers,1
mattered,1
within,1
five,1
stricter,1
main,1
quiescence,1
generations,1
adds,1
ideology,1
activists,1
turns,1
stop,1
remain,1
edward,1
posits,1
intended,1
institution,1
conflation,1
through,1
college,1
male,1
cut,1
consternation,1
prove,1
allen,1
still,1
reconstruction,1
pointed,1
yale,1
establish,1
destiny,1
neighborhood,1
multivalent,1
manuscript,1
lawrence,1
weaknesses,1
connected,1
sarah,1
anxiety,1
talk,1
police,1
perennial,1
consensual,1
complex,1
hazel,1
displaying,1
denied,1
dialogue,1
references,1
confounded,1
kinds,1
study,1
responsible,1
magnify,1
single,1
illuminating,1
form,1
lott,1
lay,1
unknown,1
congressional,1
live,1
authority,1
table,1
criticism,1
disagrees,1
ways,1
fields,1
dispersal,1
bederman,1
reason,1
americans,1
itself,1
felton,1
insistence,1
problematic,1
builds,1
shift,1
safeguarding,1
notwithstanding,1
joseph,1
evolved,1
lock,1
tempered,1
during,1
matters,1
protection,1
us,1
neither,1
index,1
seems,1
nature,1
included,1
punished,1
professors,1
vivid,1
just,1
historian,1
believed,1
n,1
numbers,1
impact,1
solidified,1
result,1
flared,1
shore,1
descriptions,1
argued,1
too,1
advocates,1
townspeople,1
jacobson,1
gail,1
round,1
being,1
said,1
common,1
e,1
speculating,1
rise,1
gravely,1
known,1
gossip,1
sometimes,1
beyond,1
published,1
act,1
chose,1
subjective,1
sources,1
hence,1
lengths,1
justified,1
willing,1
voices,1
interests,1
other,1
set,1
dominant,1
equation,1
weighed,1
implications,1
wane,1
concurs,1
testify,1
butler,1
important,1
gilmore,1
use,1
larger,1
outcome,1
might,1
death,1
